,item_id,labels,en,es-CO,de,fr
1065,ToM-scene8-instruct3,theory-of-mind,"Then Mike comes in, and Mike puts his pencil above the backpack shelf. Mike’s pencil is also yellow! But Allie is still outside playing, so she didn’t see what Mike was doing.","Then Mike comes in, and Mike puts his pencil above the backpack shelf. Mike’s pencil is also yellow! But Allie is still outside playing, so she didn’t see what Mike was doing.","Then Mike comes in, and Mike puts his pencil above the backpack shelf. Mike’s pencil is also yellow! But Allie is still outside playing, so she didn’t see what Mike was doing.","Puis Mike entre et Mike met son crayon au-dessus de l'étagère du sac à dos. Le crayon de Mike est aussi jaune, mais Allie est encore en dehors du jeu, donc elle n’a pas vu ce que Mike faisait."
1066,ToM-scene8-q1-false_belief,theory-of-mind,"Now, when Allie comes in from outside, where will she look first for her pencil?","Now, when Allie comes in from outside, where will she look first for her pencil?","Now, when Allie comes in from outside, where will she look first for her pencil?","Maintenant, quand Allie viendra de l'extérieur, où va-t-elle chercher son crayon ?"
1067,top,theory-of-mind,On top of the shelf above the backpack shelf,On top of the shelf above the backpack shelf,On top of the shelf above the backpack shelf,Sur l'étagère au-dessus de l'étagère du sac à dos
1068,behind,theory-of-mind,Behind the backpack shelf,Behind the backpack shelf,Behind the backpack shelf,Derrière l'étagère du sac à dos
1069,ToM-scene-8-instruct4,theory-of-mind,"Let’s see what she does. Oh look, here is Allie reaching for this pencil up on top of the shelf. And now Mike sees Allie reaching for that pencil... the pencil that is Mike's!","Let’s see what she does. Oh look, here is Allie reaching for this pencil up on top of the shelf. And now Mike sees Allie reaching for that pencil... the pencil that is Mike's!","Let’s see what she does. Oh look, here is Allie reaching for this pencil up on top of the shelf. And now Mike sees Allie reaching for that pencil... the pencil that is Mike's!","Voyons ce qu'elle fait. Oh, regardez, voici Allie qui vient chercher ce crayon en haut de l'étagère. Et maintenant Mike voit Allie atteindre ce crayon... le crayon qui est celui de Mike!"
1070,ToM-scene-8-q2-emotion_reasoning,theory-of-mind,How do you think Mike feels about Allie reaching for that pencil?,How do you think Mike feels about Allie reaching for that pencil?,How do you think Mike feels about Allie reaching for that pencil?,Que pensez-vous de Mike pour que Allie atteigne ce crayon?
1071,ToM-scene-8-q3-emotion_reasoning,theory-of-mind,How do you think Mike would feel if he had not seen Allie reaching for the pencil?,How do you think Mike would feel if he had not seen Allie reaching for the pencil?,How do you think Mike would feel if he had not seen Allie reaching for the pencil?,Comment pensez-vous que Mike se sentirait s'il n'avait pas vu Allie atteindre le crayon?
1072,ToM-scene-8-q4-false_belief,theory-of-mind,Is Allie being mean and naughty for taking Mike’s pencil?,Is Allie being mean and naughty for taking Mike’s pencil?,Is Allie being mean and naughty for taking Mike’s pencil?,Allie est-elle maigre et maladroite d’avoir pris le crayon de Mike ?
1073,ToM-scene-8-q5-false_belief,theory-of-mind,Should Allie get in trouble with the teacher for taking Mike’s pencil?,Should Allie get in trouble with the teacher for taking Mike’s pencil?,Should Allie get in trouble with the teacher for taking Mike’s pencil?,Allie devrait-il avoir des problèmes avec le professeur pour avoir pris le crayon de Mike?
1074,ToM-scene-8-q6-reality_check,theory-of-mind,Can you help Mike find his pencil? Is it on top of the shelf or behind the shelf?,Can you help Mike find his pencil? Is it on top of the shelf or behind the shelf?,Can you help Mike find his pencil? Is it on top of the shelf or behind the shelf?,Pouvez-vous aider Mike à trouver son crayon ?
1075,ToM-scene-8-q7-reality_check,theory-of-mind,Can you help Allie find her pencil? Is it on top of the shelf or behind the shelf?,Can you help Allie find her pencil? Is it on top of the shelf or behind the shelf?,Can you help Allie find her pencil? Is it on top of the shelf or behind the shelf?,Pouvez-vous aider Allie à trouver son crayon ?
1076,ToM-scene-9-instruct1,theory-of-mind,"This is Mark. Mark is playing a really silly game today and not saying any words all day long. Instead, Mark is drawing pictures. Mark is at the library, deciding which book he would like to read. Mom shows Mark two books, a book about cups and a book about hills.","This is Mark. Mark is playing a really silly game today and not saying any words all day long. Instead, Mark is drawing pictures. Mark is at the library, deciding which book he would like to read. Mom shows Mark two books, a book about cups and a book about hills.","This is Mark. Mark is playing a really silly game today and not saying any words all day long. Instead, Mark is drawing pictures. Mark is at the library, deciding which book he would like to read. Mom shows Mark two books, a book about cups and a book about hills.","C'est Mark. Mark joue un jeu vraiment stupide aujourd'hui et ne dit aucun mot tout au long de la journée. Au lieu de cela, Mark dessine des images. Mark est à la bibliothèque, décidant quel livre il aimerait lire. Maman montre Mark deux livres, un livre sur les tasses et un livre sur les collines."
1077,ToM-scene-9-instruct2,theory-of-mind,"Mark draws a picture of a hill, to tell Mom that he wants to read the book about hills. But when Mark gives Mom the picture, she holds it upside-down, so that it looks like a cup!","Mark draws a picture of a hill, to tell Mom that he wants to read the book about hills. But when Mark gives Mom the picture, she holds it upside-down, so that it looks like a cup!","Mark draws a picture of a hill, to tell Mom that he wants to read the book about hills. But when Mark gives Mom the picture, she holds it upside-down, so that it looks like a cup!","Mark dessine une photo d'une colline, pour dire à maman qu'il veut lire le livre sur les collines. Mais quand Mark donne la photo à maman, elle la tient à l'envers, de sorte qu'elle ressemble à une tasse!"
1078,ToM-scene-9-q1-reality_check,theory-of-mind,What did Mark mean to draw?,What did Mark mean to draw?,What did Mark mean to draw?,Que voulait dire Marc pour dessiner?
1079,hill,theory-of-mind,A hill,A hill,A hill,Une colline
1080,cup,theory-of-mind,A cup,A cup,A cup,Une tasse
1081,ToM-scene-9-q2-false_belief,theory-of-mind,"When Mom sees the picture, what book will she give Mark? ","When Mom sees the picture, what book will she give Mark? ","When Mom sees the picture, what book will she give Mark? ","Quand la mère voit la photo, quel livre donnera-t-elle Marque? "
1082,ToM-scene-9-q3-reality_check,theory-of-mind,What book does Mark really want? ,What book does Mark really want? ,What book does Mark really want? ,Quel livre Mark veut-il vraiment? 
1083,hillsbook,theory-of-mind,The book about hills,The book about hills,The book about hills,Le livre sur les collines
1084,cupbook,theory-of-mind,The book about cups,The book about cups,The book about cups,Le livre sur les tasses
1085,ToM-scene-9-q4-emotion_reasoning,theory-of-mind,"Look, Mom realized her mistake and gave Mark the book he really wanted! How do you think Mark feels about getting the book he wanted?","Look, Mom realized her mistake and gave Mark the book he really wanted! How do you think Mark feels about getting the book he wanted?","Look, Mom realized her mistake and gave Mark the book he really wanted! How do you think Mark feels about getting the book he wanted?","Regardez, maman a réalisé son erreur et a donné à Mark le livre qu'il voulait vraiment ! Que pensez-vous de Mark pour obtenir le livre qu'il voulait?"
1086,ToM-scene-10-instruct1,theory-of-mind,Teacher Sarah tells all of the kids to take one storybook from the bag that she brought. There is one storybook for every kid.,Teacher Sarah tells all of the kids to take one storybook from the bag that she brought. There is one storybook for every kid.,Teacher Sarah tells all of the kids to take one storybook from the bag that she brought. There is one storybook for every kid.,L'enseignante Sarah raconte à tous les enfants de prendre un récit dans le sac qu'elle a apporté. Il y a un récit pour chaque enfant.
1087,ToM-scene-10-instruct2,theory-of-mind,"Now there are two storybooks left, and Brian and Megan are the last two kids without storybooks. But when Brian goes to get his storybook, he decides to take both storybooks, even though he knows that Megan doesn’t have a storybook yet, and that everyone is only supposed to have one. Brian hides the extra storybook in his desk.","Now there are two storybooks left, and Brian and Megan are the last two kids without storybooks. But when Brian goes to get his storybook, he decides to take both storybooks, even though he knows that Megan doesn’t have a storybook yet, and that everyone is only supposed to have one. Brian hides the extra storybook in his desk.","Now there are two storybooks left, and Brian and Megan are the last two kids without storybooks. But when Brian goes to get his storybook, he decides to take both storybooks, even though he knows that Megan doesn’t have a storybook yet, and that everyone is only supposed to have one. Brian hides the extra storybook in his desk.","Il reste maintenant deux livres de conte, et Brian et Megan sont les deux derniers enfants sans livres d'histoires. Mais quand Brian va chercher son livre de conte, il décide de prendre les deux livres de conte, même s’il sait que Megan n’a pas encore de livre d’histoire et que tout le monde est censé en avoir un. Brian cache le livre de contes supplémentaire dans son bureau."
1088,ToM-scene-10-q1-emotion_reasoning,theory-of-mind,How does Megan feel about being the only child without a storybook?,How does Megan feel about being the only child without a storybook?,How does Megan feel about being the only child without a storybook?,Comment Megan ressent-il d'être le seul enfant sans livre d'histoire?
1089,ToM-scene-10-q2-emotion_reasoning,theory-of-mind,How would Megan feel if she received a book?,How would Megan feel if she received a book?,How would Megan feel if she received a book?,Comment Mégan se sentirait-elle si elle recevait un livre?
1090,ToM-scene-10-instruct3,theory-of-mind,"Teacher Sarah asks Brian, “Is there a storybook leftover, so Megan can have one?” and Brian tells Teacher Sarah, “No, there is no storybook left. They are all being used right now.”","Teacher Sarah asks Brian, “Is there a storybook leftover, so Megan can have one?” and Brian tells Teacher Sarah, “No, there is no storybook left. They are all being used right now.”","Teacher Sarah asks Brian, “Is there a storybook leftover, so Megan can have one?” and Brian tells Teacher Sarah, “No, there is no storybook left. They are all being used right now.”","L’enseignante Sarah demande à Brian, “Y a-t-il encore un livre de contes restant, pour que Megan puisse en avoir un?” et Brian dit au professeur Sarah, “Non, il n’y a plus de livre d’histoires. Ils sont tous utilisés en ce moment.&#160;»"
1091,ToM-scene-10-q3-reality_check,theory-of-mind,Is Brian lying?,Is Brian lying?,Is Brian lying?,Brian est-il un mensonge ?
1092,ToM-scene-10-q4-reality_check,theory-of-mind,"Is there still a storybook left, that isn’t being used right now?","Is there still a storybook left, that isn’t being used right now?","Is there still a storybook left, that isn’t being used right now?",Y a-t-il encore un livre de contes qui n’est pas utilisé en ce moment ?
1093,ToM-scene-10-instruct4,theory-of-mind,"Megan is sad that she doesn’t have a storybook, and asks Teacher Sarah, ""is there an extra storybook for me?"" Teacher Sarah says, “I’m so sorry Megan, but there are no storybooks left, they are all being used right now.”","Megan is sad that she doesn’t have a storybook, and asks Teacher Sarah, ""is there an extra storybook for me?"" Teacher Sarah says, “I’m so sorry Megan, but there are no storybooks left, they are all being used right now.”","Megan is sad that she doesn’t have a storybook, and asks Teacher Sarah, ""is there an extra storybook for me?"" Teacher Sarah says, “I’m so sorry Megan, but there are no storybooks left, they are all being used right now.”","Megan est triste qu'elle n'a pas de livre de conte, et demande à l'enseignante Sarah, ""Y a-t-il un livre de contes supplémentaire pour moi? L’enseignant Sarah dit : « Je suis désolé de Mégan, mais il ne reste plus aucun livre d’histoire, ils sont tous utilisés en ce moment »."
1094,ToM-scene-10-q5-false_belief,theory-of-mind,Is Teacher Sarah lying?,Is Teacher Sarah lying?,Is Teacher Sarah lying?,L'enseignant Sarah mentira-t-il?
1095,ToM-scene-10-q6-reality_check,theory-of-mind,"Is there still a storybook left, that isn’t being used right now?","Is there still a storybook left, that isn’t being used right now?","Is there still a storybook left, that isn’t being used right now?",Y a-t-il encore un livre de contes qui n’est pas utilisé en ce moment ?
1096,ToM-scene-11-instruct1,theory-of-mind,"This is Josh. Earlier today, Josh was tidying his room. Josh put his big basketball on his desk, his medium-sized soccer ball on his table, and his small baseball down on the bottom shelf.","This is Josh. Earlier today, Josh was tidying his room. Josh put his big basketball on his desk, his medium-sized soccer ball on his table, and his small baseball down on the bottom shelf.","This is Josh. Earlier today, Josh was tidying his room. Josh put his big basketball on his desk, his medium-sized soccer ball on his table, and his small baseball down on the bottom shelf.","Plus tôt dans la journée, Josh rangeait sa chambre. Josh a mis son gros basket-ball sur son bureau, son ballon de football de taille moyenne sur sa table, et son petit base-ball sur l'étagère du bas."
1097,ToM-scene-11-instruct2,theory-of-mind,"Josh’s mom just walked in and Josh asks his mom to get one of the toys. And Josh tells his mom, “I want the small ball!”","Josh’s mom just walked in and Josh asks his mom to get one of the toys. And Josh tells his mom, “I want the small ball!”","Josh’s mom just walked in and Josh asks his mom to get one of the toys. And Josh tells his mom, “I want the small ball!”",La mère de Josh vient d’entrer et Josh demande à sa mère de se procurer l’un des jouets. Et Josh dit à sa mère: « Je veux la petite balle! »
1098,ToM-scene-11-q1-reference,theory-of-mind,Which ball will mom get for Josh?,Which ball will mom get for Josh?,Which ball will mom get for Josh?,Quelle boule va être maman pour Josh?
1099,ToM-scene-11-q2-reality_check,theory-of-mind,Which ball does Josh want?,Which ball does Josh want?,Which ball does Josh want?,Quelle balle veut Josh?
1100,baseball,theory-of-mind,The baseball,The baseball,The baseball,Le baseball
1101,soccerball,theory-of-mind,The soccer ball,The soccer ball,The soccer ball,La balle de football
1102,basketball,theory-of-mind,The basketball,The basketball,The basketball,Le basket-ball
1103,ToM-scene-11-q3-emotion_reasoning,theory-of-mind,Josh wanted the baseball but mom gave him the soccer ball! How do you think Josh feels about receiving the wrong toy?,Josh wanted the baseball but mom gave him the soccer ball! How do you think Josh feels about receiving the wrong toy?,Josh wanted the baseball but mom gave him the soccer ball! How do you think Josh feels about receiving the wrong toy?,Josh voulait le baseball mais maman lui a donné le ballon de football! Que pensez-vous de Josh de recevoir le mauvais jouet?
1104,ToM-scene-11-q4-emotion_reasoning,theory-of-mind,How do you think Josh would feel if he had received the correct toy?,How do you think Josh would feel if he had received the correct toy?,How do you think Josh would feel if he had received the correct toy?,Comment pensez-vous que Josh se sentirait s'il avait reçu le bon jouet?
1105,ToM-scene-12-instruct1,theory-of-mind,"This morning, Dad asked Emma what toy she would like to take to school, and Emma told him that she would like to play with her green ball at recess.","This morning, Dad asked Emma what toy she would like to take to school, and Emma told him that she would like to play with her green ball at recess.","This morning, Dad asked Emma what toy she would like to take to school, and Emma told him that she would like to play with her green ball at recess.","Ce matin, papa a demandé à Emma quel jouet elle aimerait aller à l'école. et Emma lui dit qu'elle aimerait jouer avec sa boule verte au repos."
1106,ToM-scene-12-instruct2,theory-of-mind,"Then Emma went to her room to get ready for school. While she was getting ready, she changed her mind, so she yelled to her dad, “Actually, may I please have my red ball instead?” and kept getting ready for school. But Dad did not hear Emma ask for her red ball.","Then Emma went to her room to get ready for school. While she was getting ready, she changed her mind, so she yelled to her dad, “Actually, may I please have my red ball instead?” and kept getting ready for school. But Dad did not hear Emma ask for her red ball.","Then Emma went to her room to get ready for school. While she was getting ready, she changed her mind, so she yelled to her dad, “Actually, may I please have my red ball instead?” and kept getting ready for school. But Dad did not hear Emma ask for her red ball.","Emma est ensuite allé dans sa chambre pour se préparer à l’école. Pendant qu’elle s’apprêtait à se préparer, elle changea d’avis, alors elle cria à son père, “En fait, puis-je avoir mon ballon rouge à la place? et a continué à se préparer à l'école. Mais Papa n’a pas entendu Emma demander sa balle rouge."
1107,ToM-scene-12-q1-false_belief,theory-of-mind,Which toy does Dad think Emma wants to bring to school?,Which toy does Dad think Emma wants to bring to school?,Which toy does Dad think Emma wants to bring to school?,Quel jouet Papa pense-t-il que Emma veut faire ses études ?
1108,ToM-scene-12-instruct3,theory-of-mind,"Dad didn’t hear Emma say she wants her red ball. So dad thinks Emma wants her green ball. Dad goes to pack Emma’s bag, but can’t find her green ball in the toy box! But dad finds a purple ball in the toy box, so he packs the purple ball for Emma instead.","Dad didn’t hear Emma say she wants her red ball. So dad thinks Emma wants her green ball. Dad goes to pack Emma’s bag, but can’t find her green ball in the toy box! But dad finds a purple ball in the toy box, so he packs the purple ball for Emma instead.","Dad didn’t hear Emma say she wants her red ball. So dad thinks Emma wants her green ball. Dad goes to pack Emma’s bag, but can’t find her green ball in the toy box! But dad finds a purple ball in the toy box, so he packs the purple ball for Emma instead.","Papa n’a pas entendu Emma dire qu’elle veut son ballon rouge, alors papa pense qu’Emma veut sa boule verte. Papa va emballer le sac d’Emma, mais ne trouve pas sa boule verte dans la boîte à jouets! Mais papa trouve une boule violette dans la boîte à jouets, alors il emballe la boule violette pour Emma à la place."
1109,ToM-scene-12-q2-false_belief,theory-of-mind,Does Emma know that Dad packed the purple ball?,Does Emma know that Dad packed the purple ball?,Does Emma know that Dad packed the purple ball?,Emma sait-il que Papa a emballé la boule violette?
1110,ToM-scene-12-q3-false_belief,theory-of-mind,Which ball does Emma think Dad packed?,Which ball does Emma think Dad packed?,Which ball does Emma think Dad packed?,Quelle boule Emma pense-t-elle que Papa est emballé ?
1111,greenball,theory-of-mind,The green ball,The green ball,The green ball,La boule verte
1112,redball,theory-of-mind,The red ball,The red ball,The red ball,La boule rouge
1113,purpleball,theory-of-mind,The purple ball,The purple ball,The purple ball,La boule violette
1114,ToM-scene-12-instruct4,theory-of-mind,"On the way to school, Dad tells Emma, “I’m so sorry, I couldn’t pack the toy that you wanted because I couldn’t find it”.","On the way to school, Dad tells Emma, “I’m so sorry, I couldn’t pack the toy that you wanted because I couldn’t find it”.","On the way to school, Dad tells Emma, “I’m so sorry, I couldn’t pack the toy that you wanted because I couldn’t find it”.","En route vers l’école, Papa dit à Emma : « Je suis désolé, je n’ai pas pu emballer le jouet que vous vouliez parce que je ne pouvais pas le trouver »."
1115,ToM-scene-12-q4-reality_check,theory-of-mind,What toy does Emma want?,What toy does Emma want?,What toy does Emma want?,Quel jouet Emma veut-il?
1116,ToM-scene-12-q5-reality_check,theory-of-mind,What toy did Dad pack for Emma?,What toy did Dad pack for Emma?,What toy did Dad pack for Emma?,Quel jouet papa a-t-il fait pour Emma?
1117,ToM-scene-12-instruct5,theory-of-mind,Emma is very happy to play with her ball.,Emma is very happy to play with her ball.,Emma is very happy to play with her ball.,Emma est très heureuse de jouer avec son ballon.
1118,ToM-scene13-instruct1,theory-of-mind,"Here is Gabriel. This afternoon at school, Gabriel put his pencil in his pencil box.","Here is Gabriel. This afternoon at school, Gabriel put his pencil in his pencil box.","Here is Gabriel. This afternoon at school, Gabriel put his pencil in his pencil box.","Cet après-midi à l'école, Gabriel a mis son crayon dans sa boîte à crayon."
1119,ToM-scene13-instruct2,theory-of-mind,"But while Gabriel was outside, someone used his pencil! After using Gabriel’s pencil, the person put the pencil in a basket.","But while Gabriel was outside, someone used his pencil! After using Gabriel’s pencil, the person put the pencil in a basket.","But while Gabriel was outside, someone used his pencil! After using Gabriel’s pencil, the person put the pencil in a basket.","Mais pendant que Gabriel était à l'extérieur, quelqu'un a utilisé son crayon !"
1120,ToM-scene13-instruct3,theory-of-mind,"So now it’s time for class, and Gabriel wants his pencil.","So now it’s time for class, and Gabriel wants his pencil.","So now it’s time for class, and Gabriel wants his pencil.","Alors c’est maintenant le moment pour la classe, et Gabriel veut son crayon."
1121,ToM-scene13-q1-false_belief,theory-of-mind,Where will Gabriel look for his pencil?,Where will Gabriel look for his pencil?,Where will Gabriel look for his pencil?,Où Gabriel cherchera-t-il son crayon ?
1122,box,theory-of-mind,In the box,In the box,In the box,Dans la boîte
1123,basket,theory-of-mind,In the basket,In the basket,In the basket,Dans le panier
1124,ToM-scene13-q2-reality_check,theory-of-mind,And where is his pencil really?,And where is his pencil really?,And where is his pencil really?,Et où est vraiment son crayon ?
1125,ToM-scene14-instruct1,theory-of-mind,"This afternoon when he came home, Bobby put his soccer ball on the table.","This afternoon when he came home, Bobby put his soccer ball on the table.","This afternoon when he came home, Bobby put his soccer ball on the table.","Cet après-midi, à son retour, Bobby a mis son ballon de football sur la table."
1126,ToM-scene14-instruct2,theory-of-mind,"And then he went outside to play, see? Here’s Bobby playing outside. And while he was outside playing, Bobby’s soccer ball fell off the table and onto the floor.","And then he went outside to play, see? Here’s Bobby playing outside. And while he was outside playing, Bobby’s soccer ball fell off the table and onto the floor.","And then he went outside to play, see? Here’s Bobby playing outside. And while he was outside playing, Bobby’s soccer ball fell off the table and onto the floor.","Et puis il est sorti pour jouer, voir? Voici Bobby jouer dehors. Et alors qu’il était hors de jeu, la balle de football de Bobby est tombée de la table et sur le sol."
1127,ToM-scene14-instruct3,theory-of-mind,"Then Bobby’s sister Anna comes in. Anna also has a soccer ball! Anna puts her soccer ball on the table. Bobby is still outside playing, so he didn’t see what Anna was doing.","Then Bobby’s sister Anna comes in. Anna also has a soccer ball! Anna puts her soccer ball on the table. Bobby is still outside playing, so he didn’t see what Anna was doing.","Then Bobby’s sister Anna comes in. Anna also has a soccer ball! Anna puts her soccer ball on the table. Bobby is still outside playing, so he didn’t see what Anna was doing.","La sœur de Bobby’s Anna entrera dans l’enceinte. Anna a aussi un ballon de football, Anna met sa balle sur la table. Bobby est encore en dehors du jeu, donc il n'a pas vu ce qu'Anna faisait."
1128,ToM-scene14-q1-false_belief,theory-of-mind,"Now, when Bobby comes in from outside, where will he look first for his soccer ball?","Now, when Bobby comes in from outside, where will he look first for his soccer ball?","Now, when Bobby comes in from outside, where will he look first for his soccer ball?","Maintenant, quand Bobby viendra de l'extérieur, où va-t-il chercher sa balle de football ?"
1129,table,theory-of-mind,On the table,On the table,On the table,Sur la table
1130,floor,theory-of-mind,On the floor,On the floor,On the floor,Sur le sol
1131,ToM-scene-14-instruct4,theory-of-mind,"Let’s see what he does. Oh look, here is Bobby reaching for the soccer ball on the table. And now Anna sees Bobby reaching for that soccer ball... the soccer ball that is Anna's!","Let’s see what he does. Oh look, here is Bobby reaching for the soccer ball on the table. And now Anna sees Bobby reaching for that soccer ball... the soccer ball that is Anna's!","Let’s see what he does. Oh look, here is Bobby reaching for the soccer ball on the table. And now Anna sees Bobby reaching for that soccer ball... the soccer ball that is Anna's!","Voyons ce qu'il fait, regardez, voici Bobby qui vient pour la balle de football sur la table. Et maintenant, Anna voit Bobby atteindre pour ce ballon de football... le ballon de football qui est celui d'Anna!"
1132,ToM-scene-14-q2-emotion_reasoning,theory-of-mind,How do you think Anna feels about Bobby reaching for that soccer ball?,How do you think Anna feels about Bobby reaching for that soccer ball?,How do you think Anna feels about Bobby reaching for that soccer ball?,Comment pensez-vous qu'Anna se sent à l'idée que Bobby arrive pour cette balle de football?
1133,ToM-scene-14-q3-emotion_reasoning,theory-of-mind,How do you think Anna would feel if she had not seen Bobby reaching for the soccer ball?,How do you think Anna would feel if she had not seen Bobby reaching for the soccer ball?,How do you think Anna would feel if she had not seen Bobby reaching for the soccer ball?,Comment pensez-vous qu'Anna se sentirait si elle n'avait pas vu Bobby atteindre le ballon de football?
1134,ToM-scene-14-q4-false_belief,theory-of-mind,Is Bobby being mean and naughty for taking Anna’s soccer ball?,Is Bobby being mean and naughty for taking Anna’s soccer ball?,Is Bobby being mean and naughty for taking Anna’s soccer ball?,Est-ce que Bobby est méchant et méchant pour avoir pris la balle de football d’Anna ?
1135,ToM-scene-14-q5-false_belief,theory-of-mind,Should Bobby get in trouble with their mom for taking Anna’s soccer ball?,Should Bobby get in trouble with their mom for taking Anna’s soccer ball?,Should Bobby get in trouble with their mom for taking Anna’s soccer ball?,Bobby devrait-il avoir des problèmes avec sa mère pour avoir pris le ballon de football d’Anna?
1136,ToM-scene-14-q6-reality_check,theory-of-mind,Can you help Anna find her soccer ball? Is it on the table or on the floor?,Can you help Anna find her soccer ball? Is it on the table or on the floor?,Can you help Anna find her soccer ball? Is it on the table or on the floor?,"Pouvez-vous aider Anna à trouver son ballon de football, sur la table ou sur le plancher?"
1137,ToM-scene-14-q7-reality_check,theory-of-mind,Can you help Bobby find his soccer ball? Is it on the table or on the floor?,Can you help Bobby find his soccer ball? Is it on the table or on the floor?,Can you help Bobby find his soccer ball? Is it on the table or on the floor?,Pouvez-vous aider Bobby à trouver son ballon de football ?
1138,ToM-scene-15-instruct1,theory-of-mind,"Alex, Beth, and Johnny are playing a game at the park. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Alex, Beth, and Johnny are playing a game at the park. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Alex, Beth, and Johnny are playing a game at the park. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Alex, Beth et Johnny jouent à un match au parc. Voici comment se déroule le jeu: un enfant se cache, mais dessine un indice dans le bac à sable pour que les autres enfants puissent les trouver. "
1139,ToM-scene-15-instruct2,theory-of-mind,"Johnny decides to hide behind the flower bush. He draws a clue in the sand. Johnny means to draw the flower bush, but the drawing looks like a rock instead! Then Johnny goes to hide behind the flower bush.","Johnny decides to hide behind the flower bush. He draws a clue in the sand. Johnny means to draw the flower bush, but the drawing looks like a rock instead! Then Johnny goes to hide behind the flower bush.","Johnny decides to hide behind the flower bush. He draws a clue in the sand. Johnny means to draw the flower bush, but the drawing looks like a rock instead! Then Johnny goes to hide behind the flower bush.","Johnny décide de se cacher derrière le buisson de fleurs. Il dessine un indice dans le sable. Johnny veut dire dessiner le buisson de fleurs, mais le dessin ressemble à un rocher à la place! Alors Johnny va se cacher derrière le buisson de fleurs."
1140,ToM-scene-15-q1-reality_check,theory-of-mind,What did Johnny mean to draw?,What did Johnny mean to draw?,What did Johnny mean to draw?,Que voulait dire Johnny tirer?
1141,flowerbush,theory-of-mind,A flower bush,A flower bush,A flower bush,Un buisson de fleurs
1142,rocks,theory-of-mind,A rock,A rock,A rock,Un rocher
1143,ToM-scene-15-q2-false_belief,theory-of-mind,"When Alex and Beth see this clue, where will they look first for Johnny? Behind the flower bush or behind the rock?","When Alex and Beth see this clue, where will they look first for Johnny? Behind the flower bush or behind the rock?","When Alex and Beth see this clue, where will they look first for Johnny? Behind the flower bush or behind the rock?","Quand Alex et Beth verront cet indice, où chercheront-ils d'abord pour Johnny ? Derrière le buisson de fleurs ou derrière le rocher?"
1144,ToM-scene-15-q3-reality_check,theory-of-mind,Can you help them find where Johnny really is?,Can you help them find where Johnny really is?,Can you help them find where Johnny really is?,Pouvez-vous les aider à trouver où se trouve Johnny ?
1145,behind-flowerbush,theory-of-mind,Behind the flower bush,Behind the flower bush,Behind the flower bush,Derrière le buisson de fleurs
1146,behind-rock,theory-of-mind,Behind the rock,Behind the rock,Behind the rock,Derrière la roche
1147,ToM-scene-15-q4-emotion_reasoning,theory-of-mind,"Look, Alex and Beth found Johnny, and won the game! How do you think Alex and Beth feel about winning the game?","Look, Alex and Beth found Johnny, and won the game! How do you think Alex and Beth feel about winning the game?","Look, Alex and Beth found Johnny, and won the game! How do you think Alex and Beth feel about winning the game?","Regardez, Alex et Beth ont trouvé Johnny, et ont gagné le jeu! Que pensez-vous d'Alex et de Beth pour gagner le jeu?"
1148,ToM-scene-16-instruct1,theory-of-mind,Dad tells James and Sophie to get ready for school. Dad tells them to put on their shoes.,Dad tells James and Sophie to get ready for school. Dad tells them to put on their shoes.,Dad tells James and Sophie to get ready for school. Dad tells them to put on their shoes.,Papa dit à James et à Sophie de se préparer à l’école.
1149,ToM-scene-16-instruct2,theory-of-mind,Sophie can’t find one of her shoes! She’s looking everywhere but she can't find it.,Sophie can’t find one of her shoes! She’s looking everywhere but she can't find it.,Sophie can’t find one of her shoes! She’s looking everywhere but she can't find it.,Sophie ne peut pas trouver une de ses chaussures! Elle regarde partout mais elle ne peut pas la trouver.
1150,ToM-scene-16-q1-emotion_reasoning,theory-of-mind,How does Sophie feel about losing her shoe? ,How does Sophie feel about losing her shoe? ,How does Sophie feel about losing her shoe? ,Comment Sophie ressent-elle de perdre sa chaussure? 
1151,ToM-scene-16-q2-emotion_reasoning,theory-of-mind,How would Sophie feel if she found her shoe?,How would Sophie feel if she found her shoe?,How would Sophie feel if she found her shoe?,Comment Sophie se sentirait-elle si elle trouvait sa chaussure?
1152,ToM-scene-16-instruct3,theory-of-mind,"Sophie can't find her shoe because earlier in the day, when no one was looking, James played a trick on Sophie and hid her shoe in the toy box.","Sophie can't find her shoe because earlier in the day, when no one was looking, James played a trick on Sophie and hid her shoe in the toy box.","Sophie can't find her shoe because earlier in the day, when no one was looking, James played a trick on Sophie and hid her shoe in the toy box.","Sophie ne peut pas trouver sa chaussure parce que plus tôt dans la journée, quand personne ne regardait, James a joué un tour sur Sophie et a caché sa chaussure dans la boîte à jouets."
