old_flat_key,new_flat_key,oldDefault,newDefault,olden,newen,olden-US,newen-US,oldde,newde,oldde-DE,newde-DE,oldes,newes,oldesCO,newesCO
pages_6_elements_1_elements_1_choices_0_text,pages_6_elements_1_elements_1_choices_0_text,Has not started growing,Has not started growing,missing key,Has not started growing,missing key,Has not started growing,Noch nicht begonnen hat zu wachsen,Noch nicht begonnen hat zu wachsen,missing key,missing key,No ha empezado a crecer,missing key,missing key,No ha empezado a crecer
pages_6_elements_1_elements_1_choices_1_text,pages_6_elements_1_elements_1_choices_1_text,Has barely started growing,Has barely started growing,missing key,Has barely started growing,missing key,Has barely started growing,Kaum begonnen hat zu wachsen,Kaum begonnen hat zu wachsen,missing key,missing key,Apenas ha empezado a crecer,missing key,missing key,Apenas ha empezado a crecer
pages_6_elements_1_elements_1_choices_2_text,pages_6_elements_1_elements_1_choices_2_text,Has definitely started growing but is not finished,Has definitely started growing but is not finished,missing key,Has definitely started growing but is not finished,missing key,Has definitely started growing but is not finished,Definitiv begonnen hat zu wachsen aber noch nicht abgeschlossen ist,Definitiv begonnen hat zu wachsen aber noch nicht abgeschlossen ist,missing key,missing key,Sí está creciendo pero no ha terminado,missing key,missing key,Sí está creciendo pero no ha terminado
pages_6_elements_1_elements_1_choices_3_text,pages_6_elements_1_elements_1_choices_3_text,Seems completed (child has as much body hair as she is going to get),Seems completed (child has as much body hair as she is going to get),missing key,Seems completed (child has as much body hair as she is going to get),missing key,Seems completed (child has as much body hair as she is going to get),Abgeschlossen zu sein scheint (das Kind hat seine vollständige Körperbehaarung erreicht),Abgeschlossen zu sein scheint (das Kind hat seine vollständige Körperbehaarung erreicht),missing key,missing key,Parece que ha terminado de crecer (la niña tiene todo el vello corporal que va a tener),missing key,missing key,Parece que ha terminado de crecer (la niña tiene todo el vello corporal que va a tener)
pages_6_elements_1_elements_1_title,pages_6_elements_1_elements_1_title,How about the growth of body hair (e.g. under arms)? Would you say your child's body hair:,How about the growth of body hair (e.g. under arms)? Would you say your child's body hair:,missing key,How about the growth of body hair (e.g. under arms)? Would you say your child's body hair:,missing key,How about the growth of body hair (e.g. under arms)? Would you say your child's body hair:,"Wie ist es mit dem Wachstum der Körperbehaarung (z. B. unter den Armen)? Würden Sie sagen, dass die Körperbehaarung Ihres Kindes:","Wie ist es mit dem Wachstum der Körperbehaarung (z. B. unter den Armen)? Würden Sie sagen, dass die Körperbehaarung Ihres Kindes:",missing key,missing key,"¿Qué diría usted del crecimiento del vello corporal del niña (por ejemplo, en las axilas)? Diría que el vello corporal de su niña:",missing key,missing key,"¿Qué diría usted del crecimiento del vello corporal de la niña (por ejemplo, en las axilas)? Diría que el vello corporal de su niña:"
pages_6_elements_1_elements_2_choices_0_text,pages_6_elements_1_elements_2_choices_0_text,Not yet started showing changes,Not yet started showing changes,missing key,Not yet started showing changes,missing key,Not yet started showing changes,Es hat noch nicht damit begonnen,Es hat noch nicht damit begonnen,missing key,missing key,No ha empezado a mostrar cambios,missing key,missing key,No ha empezado a mostrar cambios
pages_6_elements_1_elements_2_choices_1_text,pages_6_elements_1_elements_2_choices_1_text,Have barely started showing changes,Have barely started showing changes,missing key,Have barely started showing changes,missing key,Have barely started showing changes,"Es hat gerade erst damit begonnen, dass sich Änderungen zeigen","Es hat gerade erst damit begonnen, dass sich Änderungen zeigen",missing key,missing key,Apenas ha empezado a mostrar cambios,missing key,missing key,Apenas ha empezado a mostrar cambios
pages_6_elements_1_elements_2_choices_2_text,pages_6_elements_1_elements_2_choices_2_text,Skin changes have definitely started but are not finished,Skin changes have definitely started but are not finished,missing key,Skin changes have definitely started but are not finished,missing key,Skin changes have definitely started but are not finished,"Hautänderungen haben definitiv begonnen, sind aber noch nicht abgeschlossen","Hautänderungen haben definitiv begonnen, sind aber noch nicht abgeschlossen",missing key,missing key,Los cambios en la piel han empezado pero no han terminado,missing key,missing key,Los cambios en la piel han empezado pero no han terminado
pages_6_elements_1_elements_2_choices_3_text,pages_6_elements_1_elements_2_choices_3_text,Skin changes seem completed,Skin changes seem completed,missing key,Skin changes seem completed,missing key,Skin changes seem completed,Hautänderungen scheinen abgeschlossen zu sein,Hautänderungen scheinen abgeschlossen zu sein,missing key,missing key,Parece que los cambios en la piel han terminado,missing key,missing key,Parece que los cambios en la piel han terminado
pages_6_elements_1_elements_2_title,pages_6_elements_1_elements_2_title,"Have you noticed any skin changes, especially pimples?","Have you noticed any skin changes, especially pimples?",missing key,"Have you noticed any skin changes, especially pimples?",missing key,"Have you noticed any skin changes, especially pimples?","Haben Sie Hautveränderungen, insbesondere Pickel, festgestellt?","Haben Sie Hautveränderungen, insbesondere Pickel,Haben Sie Hautveränderungen",missing key,missing key,"¿Ha notado algún cambio en la piel, especialmente acné?",missing key,missing key,"¿Ha notado algún cambio en la piel, especialmente acné?"
pages_6_elements_1_elements_3_choices_0_text,pages_6_elements_1_elements_3_choices_0_text,Not yet started growing,Not yet started growing,missing key,Not yet started growing,missing key,Not yet started growing,Es hat noch nicht begonnen,Es hat noch nicht begonnen,missing key,missing key,No han empezado a crecer,missing key,missing key,No han empezado a crecer
pages_6_elements_1_elements_3_choices_1_text,pages_6_elements_1_elements_3_choices_1_text,Have barely started growing,Have barely started growing,missing key,Have barely started growing,missing key,Have barely started growing,Es hat gerade erst begonnen,Es hat gerade erst begonnen,missing key,missing key,Apenas han empezado a crecer,missing key,missing key,Apenas han empezado a crecer
pages_6_elements_1_elements_3_choices_2_text,pages_6_elements_1_elements_3_choices_2_text,Breast growth has definitely started but is not finished,Breast growth has definitely started but is not finished,missing key,Breast growth has definitely started but is not finished,missing key,Breast growth has definitely started but is not finished,"Brustwachstum hat definitiv begonnen, ist aber noch nicht abgeschlossen","Brustwachstum hat definitiv begonnen, ist aber noch nicht abgeschlossen",missing key,missing key,Han empezado pero no han terminado,missing key,missing key,Han empezado pero no han terminado
pages_6_elements_1_elements_3_choices_3_text,pages_6_elements_1_elements_3_choices_3_text,Breast growth seems completed,Breast growth seems completed,missing key,Breast growth seems completed,missing key,Breast growth seems completed,Das Brustwachstum scheint abgeschlossen zu sein,Das Brustwachstum scheint abgeschlossen zu sein,missing key,missing key,Parece que el crecimiento de los pechos ha terminado,missing key,missing key,Parece que el crecimiento de los pechos ha terminado
pages_6_elements_1_elements_3_title,pages_6_elements_1_elements_3_title,Have your child's breasts begun to grow?,Have your child's breasts begun to grow?,missing key,Have your child's breasts begun to grow?,missing key,Have your child's breasts begun to grow?,Hat das Brustwachstum Ihres Kindes begonnen?,Hat das Brustwachstum Ihres Kindes begonnen?,missing key,missing key,¿Los pechos de su niña han empezado a crecer?,missing key,missing key,¿Los pechos de su niña han empezado a crecer?
pages_6_elements_0_labelFalse,pages_6_elements_1_elements_4_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_6_elements_0_labelTrue,pages_6_elements_1_elements_4_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_6_elements_1_elements_4_title,pages_6_elements_1_elements_4_title,Has your child begun to menstruate?,Has your child begun to menstruate?,missing key,Has your child begun to menstruate?,missing key,Has your child begun to menstruate?,Hat bei Ihrem Kind die Menstruation bereits begonnen?,Hat bei Ihrem Kind die Menstruation bereits begonnen?,missing key,missing key,¿Su niña ya tuvo su primera menstruación?,missing key,missing key,¿Su niña ya tuvo su primera menstruación?
pages_1_elements_4_placeholder,pages_6_elements_1_elements_5_placeholder,years of age,years of age,missing key,years of age,missing key,years of age,Lebensjahre,Lebensjahre,missing key,missing key,años,missing key,missing key,años
pages_6_elements_1_elements_5_title,pages_6_elements_1_elements_5_title,"If yes, how old was your child when she first got her period?","If yes, how old was your child when she first got her period?",missing key,"If yes, how old was your child when she first got her period?",missing key,"If yes, how old was your child when she first got her period?",Hat bei Ihrem Kind die Menstruation bereits begonnen?,Hat bei Ihrem Kind die Menstruation bereits begonnen?,missing key,missing key,"De ser así, ¿cuántos años tenía su niña cuando tuvo su primera menstruación?",missing key,missing key,"De ser así, ¿cuántos años tenía su niña cuando tuvo su primera menstruación?"
pages_6_elements_1_title,pages_6_elements_1_title,"For each question, please select the answer that best describes what is happening to your child right now.","For each question, please select the answer that best describes what is happening to your child right now.",missing key,"For each question, please select the answer that best describes what is happening to your child right now.",missing key,"For each question, please select the answer that best describes what is happening to your child right now.","Bitte wählen Sie für jede Frage die Antwort aus, die am besten beschreibt, was mit Ihrem Kind im Moment passiert.","Bitte wählen Sie für jede Frage die Antwort aus, die am besten beschreibt,Bitte wählen Sie für jede Frage die Antwort aus",missing key,missing key,"Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niña en este momento.",missing key,missing key,"Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niña en este momento."
pages_6_elements_1_elements_0_choices_0_text,pages_6_elements_2_elements_0_choices_0_text,"Has not yet begun to spurt (""spurt"" means more growth than usual)","Has not yet begun to spurt (""spurt"" means more growth than usual)",missing key,"Has not yet begun to spurt (""spurt"" means more growth than usual)",missing key,"Has not yet begun to spurt (""spurt"" means more growth than usual)","Noch nicht mit dem Spurt (""Spurt"" bedeutet schneller wachsen als üblich) begonnen","Noch nicht mit dem Spurt (""Spurt"" bedeutet schneller wachsen als üblich) begonnen",missing key,missing key,"No ha empezado el estirón (""estirón"" significa un crecimiento acelerado)",missing key,missing key,"No ha empezado el estirón (""estirón"" significa un crecimiento acelerado)"
pages_6_elements_1_elements_0_choices_1_text,pages_6_elements_2_elements_0_choices_1_text,Has barely started to spurt,Has barely started to spurt,missing key,Has barely started to spurt,missing key,Has barely started to spurt,Kaum mit dem Spurt begonnen,Kaum mit dem Spurt begonnen,missing key,missing key,Apenas inició el estirón,missing key,missing key,Apenas inició el estirón
pages_6_elements_1_elements_0_choices_2_text,pages_6_elements_2_elements_0_choices_2_text,Has definitely started to happen but is not finished,Has definitely started to happen but is not finished,missing key,Has definitely started to happen but is not finished,missing key,Has definitely started to happen but is not finished,Definitiv begonnen aber ist noch nicht abgeschlossen,Definitiv begonnen aber ist noch nicht abgeschlossen,missing key,missing key,Definitivamente está en el estirón pero aún no ha terminado,missing key,missing key,Definitivamente está en el estirón pero aún no ha terminado
,pages_6_elements_2_elements_0_choices_3_text,missing key,Seems completed (child is about as tall as he is going to get),missing key,missing key,missing key,Seems completed (child is about as tall as she is going to get),missing key,Scheint abgeschlossen zu sein (das Kind hat seine Größe erreicht),missing key,missing key,missing key,missing key,missing key,Parece que terminó el estirón (ha alcanzado su estatura que va a tener)
pages_6_elements_1_elements_0_title,pages_6_elements_2_elements_0_title,Would you say that your child's growth in height (getting taller):,Would you say that your child's growth in height (getting taller):,missing key,Would you say that your child's growth in height (getting taller):,missing key,Would you say that your child's growth in height (getting taller):,Was würdem Sie über das Wachstum Ihres Kindes in der Höhe (größer werden) sagen:,Was würdem Sie über das Wachstum Ihres Kindes in der Höhe (größer werden) sagen:,missing key,missing key,¿Qué diría usted del crecimiento de su niña (en estatura)?,missing key,missing key,¿Qué diría usted del crecimiento de su niño (en estatura):
pages_6_elements_1_elements_1_choices_0_text,pages_6_elements_2_elements_1_choices_0_text,Has not started growing,Has not started growing,missing key,Has not started growing,missing key,Has not started growing,Noch nicht begonnen hat zu wachsen,Noch nicht begonnen hat zu wachsen,missing key,missing key,No ha empezado a crecer,missing key,missing key,No ha empezado a crecer
pages_6_elements_1_elements_1_choices_1_text,pages_6_elements_2_elements_1_choices_1_text,Has barely started growing,Has barely started growing,missing key,Has barely started growing,missing key,Has barely started growing,Kaum begonnen hat zu wachsen,Kaum begonnen hat zu wachsen,missing key,missing key,Apenas ha empezado a crecer,missing key,missing key,Apenas ha empezado a crecer
pages_6_elements_1_elements_1_choices_2_text,pages_6_elements_2_elements_1_choices_2_text,Has definitely started growing but is not finished,Has definitely started growing but is not finished,missing key,Has definitely started growing but is not finished,missing key,Has definitely started growing but is not finished,Definitiv begonnen hat zu wachsen aber noch nicht abgeschlossen ist,Definitiv begonnen hat zu wachsen aber noch nicht abgeschlossen ist,missing key,missing key,Sí está creciendo pero no ha terminado,missing key,missing key,Sí está creciendo pero no ha terminado
,pages_6_elements_2_elements_1_choices_3_text,missing key,Seems completed (child has as much body hair as he is going to get),missing key,missing key,missing key,Seems completed (child has as much body hair as she is going to get),missing key,Abgeschlossen zu sein scheint (das Kind hat seine vollständige Körperbehaarung erreicht),missing key,missing key,missing key,missing key,missing key,Parece que ha terminado de crecer (el niño tiene todo el vello corporal que va a tener)
pages_6_elements_1_elements_1_title,pages_6_elements_2_elements_1_title,How about the growth of body hair (e.g. under arms)? Would you say your child's body hair:,How about the growth of body hair (e.g. under arms)? Would you say your child's body hair:,missing key,How about the growth of body hair (e.g. under arms)? Would you say your child's body hair:,missing key,How about the growth of body hair (e.g. under arms)? Would you say your child's body hair:,"Wie ist es mit dem Wachstum der Körperbehaarung (z. B. unter den Armen)? Würden Sie sagen, dass die Körperbehaarung Ihres Kindes:","Wie ist es mit dem Wachstum der Körperbehaarung (z. B. unter den Armen)? Würden Sie sagen, dass die Körperbehaarung Ihres Kindes:",missing key,missing key,"¿Qué diría usted del crecimiento del vello corporal del niña (por ejemplo, en las axilas)? Diría que el vello corporal de su niña:",missing key,missing key,"¿Qué diría usted del crecimiento del vello corporal del niño (por ejemplo, en las axilas)? Diría que el vello corporal de su niño:"
pages_6_elements_1_elements_2_choices_0_text,pages_6_elements_2_elements_2_choices_0_text,Not yet started showing changes,Not yet started showing changes,missing key,Not yet started showing changes,missing key,Not yet started showing changes,Es hat noch nicht damit begonnen,Es hat noch nicht damit begonnen,missing key,missing key,No ha empezado a mostrar cambios,missing key,missing key,No ha empezado a mostrar cambios
pages_6_elements_1_elements_2_choices_1_text,pages_6_elements_2_elements_2_choices_1_text,Have barely started showing changes,Have barely started showing changes,missing key,Have barely started showing changes,missing key,Have barely started showing changes,"Es hat gerade erst damit begonnen, dass sich Änderungen zeigen","Es hat gerade erst damit begonnen, dass sich Änderungen zeigen",missing key,missing key,Apenas ha empezado a mostrar cambios,missing key,missing key,Apenas ha empezado a mostrar cambios
pages_6_elements_1_elements_2_choices_2_text,pages_6_elements_2_elements_2_choices_2_text,Skin changes have definitely started but are not finished,Skin changes have definitely started but are not finished,missing key,Skin changes have definitely started but are not finished,missing key,Skin changes have definitely started but are not finished,"Hautänderungen haben definitiv begonnen, sind aber noch nicht abgeschlossen","Hautänderungen haben definitiv begonnen, sind aber noch nicht abgeschlossen",missing key,missing key,Los cambios en la piel han empezado pero no han terminado,missing key,missing key,Los cambios en la piel han empezado pero no han terminado
pages_6_elements_1_elements_2_choices_3_text,pages_6_elements_2_elements_2_choices_3_text,Skin changes seem completed,Skin changes seem completed,missing key,Skin changes seem completed,missing key,Skin changes seem completed,Hautänderungen scheinen abgeschlossen zu sein,Hautänderungen scheinen abgeschlossen zu sein,missing key,missing key,Parece que los cambios en la piel han terminado,missing key,missing key,Parece que los cambios en la piel han terminado
pages_6_elements_1_elements_2_title,pages_6_elements_2_elements_2_title,"Have you noticed any skin changes, especially pimples?","Have you noticed any skin changes, especially pimples?",missing key,"Have you noticed any skin changes, especially pimples?",missing key,"Have you noticed any skin changes, especially pimples?","Haben Sie Hautveränderungen, insbesondere Pickel, festgestellt?","Haben Sie Hautveränderungen, insbesondere Pickel,Haben Sie Hautveränderungen",missing key,missing key,"¿Ha notado algún cambio en la piel, especialmente acné?",missing key,missing key,"¿Ha notado algún cambio en la piel, especialmente acné?"
pages_6_elements_2_elements_3_choices_0_text,pages_6_elements_2_elements_3_choices_0_text,Not yet started to change,Not yet started to change,missing key,Not yet started to change,missing key,Not yet started to change,"Sie hat noch nicht angefangen, sich zu verändern","Sie hat noch nicht angefangen, sich zu verändern",missing key,missing key,No ha empezado a cambiar,missing key,missing key,No ha empezado a cambiar
pages_6_elements_2_elements_3_choices_1_text,pages_6_elements_2_elements_3_choices_1_text,Has barely started changing,Has barely started changing,missing key,Has barely started changing,missing key,Has barely started changing,"Sie hat kaum angefangen, sich zu verändern","Sie hat kaum angefangen, sich zu verändern",missing key,missing key,Apenas ha empezado a cambiar,missing key,missing key,Apenas ha empezado a cambiar
pages_6_elements_2_elements_3_choices_2_text,pages_6_elements_2_elements_3_choices_2_text,Voice change is definitely happening but is not finished,Voice change is definitely happening but is not finished,missing key,Voice change is definitely happening but is not finished,missing key,Voice change is definitely happening but is not finished,"Der Stimmbruch findet definitiv statt, ist aber noch nicht abgeschlossen","Der Stimmbruch findet definitiv statt, ist aber noch nicht abgeschlossen",missing key,missing key,"El cambio de voz está ocurriendo, pero no ha terminado",missing key,missing key,"El cambio de voz está ocurriendo, pero no ha terminado"
pages_6_elements_2_elements_3_choices_3_text,pages_6_elements_2_elements_3_choices_3_text,Voice change seems completed,Voice change seems completed,missing key,Voice change seems completed,missing key,Voice change seems completed,Der Stimmbruch scheint abgeschlossen zu sein,Der Stimmbruch scheint abgeschlossen zu sein,missing key,missing key,El cambio de voz parece haber terminado,missing key,missing key,El cambio de voz parece haber terminado
pages_6_elements_2_elements_3_title,pages_6_elements_2_elements_3_title,Has your child's voice started to change?,Has your child's voice started to change?,missing key,Has your child's voice started to change?,missing key,Has your child's voice started to change?,"Hat die Stimme Ihres Kindes begonnen, sich zu verändern?","Hat die Stimme Ihres Kindes begonnen, sich zu verändern?",missing key,missing key,¿Ha empezado a cambiar la voz de su niño?,missing key,missing key,¿Ha empezado a cambiar la voz de su niño?
pages_6_elements_2_elements_4_choices_0_text,pages_6_elements_2_elements_4_choices_0_text,Not yet started growing facial hair,Not yet started growing facial hair,missing key,Not yet started growing facial hair,missing key,Not yet started growing facial hair,Die Gesichtsbehaarung hat noch nicht begonnen,Die Gesichtsbehaarung hat noch nicht begonnen,missing key,missing key,No ha empezado a crecerle el vello facial,missing key,missing key,No ha empezado a crecerle el vello facial
pages_6_elements_2_elements_4_choices_1_text,pages_6_elements_2_elements_4_choices_1_text,Has barely started growing facial hair,Has barely started growing facial hair,missing key,Has barely started growing facial hair,missing key,Has barely started growing facial hair,Die Gesichtsbehaarung hat gerade erst begonnen,Die Gesichtsbehaarung hat gerade erst begonnen,missing key,missing key,Apenas ha empezado a crecerle el vello facial,missing key,missing key,Apenas ha empezado a crecerle el vello facial
pages_6_elements_2_elements_4_choices_2_text,pages_6_elements_2_elements_4_choices_2_text,Hair growth has definitely started (enough to shave),Hair growth has definitely started (enough to shave),missing key,Hair growth has definitely started (enough to shave),missing key,Hair growth has definitely started (enough to shave),"Das Haarwachstum hat definitiv begonnen (genug, um sich zu rasieren)","Das Haarwachstum hat definitiv begonnen (genug, um sich zu rasieren)",missing key,missing key,El vello facial ha empezado a crecer (lo suficiente como para afeitarse),missing key,missing key,El vello facial ha empezado a crecer (lo suficiente como para afeitarse)
pages_6_elements_2_elements_4_choices_3_text,pages_6_elements_2_elements_4_choices_3_text,Probably grows now as fast as it will ever grow,Probably grows now as fast as it will ever grow,missing key,Probably grows now as fast as it will ever grow,missing key,Probably grows now as fast as it will ever grow,"Wahrscheinlich wächst es jetzt so schnell, wie es maximal wachsen kann","Wahrscheinlich wächst es jetzt so schnell, wie es maximal wachsen kann",missing key,missing key,Parece que ya crece a la velocidad que lo hará a futuro,missing key,missing key,Parece que ya crece a la velocidad que lo hará a futuro
pages_6_elements_2_elements_4_title,pages_6_elements_2_elements_4_title,Has your child started to grow facial hair (beard or mustache)?,Has your child started to grow facial hair (beard or mustache)?,missing key,Has your child started to grow facial hair (beard or mustache)?,missing key,Has your child started to grow facial hair (beard or mustache)?,Hat bei Ihrem Kind die Gesichtsbehaarung (Bart oder Schnurrbart) begonnen?,Hat bei Ihrem Kind die Gesichtsbehaarung (Bart oder Schnurrbart) begonnen?,missing key,missing key,¿Le ha empezado a crecer el vello facial (barba o bigote)?,missing key,missing key,¿Le ha empezado a crecer el vello facial (barba o bigote)?
pages_6_elements_1_title,pages_6_elements_2_title,"For each question, please select the answer that best describes what is happening to your child right now.","For each question, please select the answer that best describes what is happening to your child right now.",missing key,"For each question, please select the answer that best describes what is happening to your child right now.",missing key,"For each question, please select the answer that best describes what is happening to your child right now.","Bitte wählen Sie für jede Frage die Antwort aus, die am besten beschreibt, was mit Ihrem Kind im Moment passiert.","Bitte wählen Sie für jede Frage die Antwort aus, die am besten beschreibt,Bitte wählen Sie für jede Frage die Antwort aus",missing key,missing key,"Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niña en este momento.",missing key,missing key,"Para cada pregunta, seleccione la respuesta que mejor describa lo que le ocurre a su niño en este momento."
pages_7_elements_0_elements_0_columns_0_text,pages_7_elements_0_elements_0_columns_0_text,Rarely (0-1 times per week),Rarely (0-1 times per week),missing key,Rarely (0-1 times per week),missing key,Rarely (0-1 times per week),Selten (0-1 Mal pro Woche),Selten (0-1 Mal pro Woche),missing key,missing key,Rara vez (0-1 veces por semana),missing key,missing key,Rara vez (0-1 veces por semana)
pages_7_elements_0_elements_0_columns_1_text,pages_7_elements_0_elements_0_columns_1_text,Sometimes (2-4 times per week),Sometimes (2-4 times per week),missing key,Sometimes (2-4 times per week),missing key,Sometimes (2-4 times per week),Manchmal (2-4 Mal pro Woche),Manchmal (2-4 Mal pro Woche),missing key,missing key,A veces (2-4 veces por semana),missing key,missing key,A veces (2-4 veces por semana)
pages_7_elements_0_elements_0_columns_2_text,pages_7_elements_0_elements_0_columns_2_text,Usually (5 or more times per week),Usually (5 or more times per week),missing key,Usually (5 or more times per week),missing key,Usually (5 or more times per week),Häufig (5 oder mehr Mal pro Woche),Häufig (5 oder mehr Mal pro Woche),missing key,missing key,Habitualmente (5 o más veces por semana),missing key,missing key,Habitualmente (5 o más veces por semana)
pages_7_elements_0_elements_0_rows_0_text,pages_7_elements_0_elements_0_rows_0_text,Your child had a hard time falling asleep (did not fall asleep within 20 minutes of going to bed).,Your child had a hard time falling asleep (did not fall asleep within 20 minutes of going to bed).,missing key,Your child had a hard time falling asleep (did not fall asleep within 20 minutes of going to bed).,missing key,Your child had a hard time falling asleep (did not fall asleep within 20 minutes of going to bed).,Ihr Kind hatte Schwierigkeiten beim Einschlafen (schlief nicht innerhalb von 20 Minuten nach dem Zubettgehen ein).,Ihr Kind hatte Schwierigkeiten beim Einschlafen (schlief nicht innerhalb von 20 Minuten nach dem Zubettgehen ein).,missing key,missing key,A su niño(a) le costó dormirse (tardó más de  20 minutos en dormirse).,missing key,missing key,A su niño(a) le costó dormirse (tardó más de  20 minutos en dormirse).
pages_7_elements_0_elements_0_rows_1_text,pages_7_elements_0_elements_0_rows_1_text,Your child had difficulty sleeping through the night (woke up once or more during the night).,Your child had difficulty sleeping through the night (woke up once or more during the night).,missing key,Your child had difficulty sleeping through the night (woke up once or more during the night).,missing key,Your child had difficulty sleeping through the night (woke up once or more during the night).,"Ihr Kind hatte Schwierigkeiten, die Nacht durchzuschlafen (es wachte einmal oder öfter in der Nacht auf).","Ihr Kind hatte Schwierigkeiten, die Nacht durchzuschlafen (es wachte einmal oder öfter in der Nacht auf).",missing key,missing key,Su niño(a) tuvo dificultades para dormir toda la noche (se despertó una o más veces durante la noche).,missing key,missing key,Su niño(a) tuvo dificultades para dormir toda la noche (se despertó una o más veces durante la noche).
pages_7_elements_0_elements_0_rows_2_text,pages_7_elements_0_elements_0_rows_2_text,Your child went to bed at about the same time on the weeknights (Monday-Friday).,Your child went to bed at about the same time on the weeknights (Monday-Friday).,missing key,Your child went to bed at about the same time on the weeknights (Monday-Friday).,missing key,Your child went to bed at about the same time on the weeknights (Monday-Friday).,Ihr Kind ist an den Wochentagen (Montag-Freitag) etwa zur gleichen Zeit ins Bett gegangen.,Ihr Kind ist an den Wochentagen (Montag-Freitag) etwa zur gleichen Zeit ins Bett gegangen.,missing key,missing key,Su niño(a) se acuesta más o menos a la misma hora entre semana (de lunes a viernes).,missing key,missing key,Su niño(a) se acuesta más o menos a la misma hora entre semana (de lunes a viernes).
,pages_7_elements_0_elements_0_title,missing key,In the <b>past 7 days</b>....,missing key,missing key,missing key,missing key,missing key,In den <b>letzten 7 Tagen</b>...,missing key,missing key,missing key,missing key,missing key,En los <b>últimos 7 días</b>…
pages_7_elements_0_elements_1_choices_0_text,pages_7_elements_0_elements_1_choices_0_text,Less than 6 hours,Less than 6 hours,missing key,Less than 6 hours,missing key,Less than 6 hours,Weniger als 6 Stunden,Weniger als 6 Stunden,missing key,missing key,Menos de 6 horas,missing key,missing key,Menos de 6 horas
pages_7_elements_0_elements_1_choices_1_text,pages_7_elements_0_elements_1_choices_1_text,6 hours,6 hours,missing key,6 hours,missing key,6 hours,6 Stunden,6 Stunden,missing key,missing key,6 horas,missing key,missing key,6 horas
pages_7_elements_0_elements_1_choices_2_text,pages_7_elements_0_elements_1_choices_2_text,7 hours,7 hours,missing key,7 hours,missing key,7 hours,7 Stunden,7 Stunden,missing key,missing key,7 horas,missing key,missing key,7 horas
pages_7_elements_0_elements_1_choices_3_text,pages_7_elements_0_elements_1_choices_3_text,8 hours,8 hours,missing key,8 hours,missing key,8 hours,8 Stunden,8 Stunden,missing key,missing key,8 horas,missing key,missing key,8 horas
pages_7_elements_0_elements_1_choices_4_text,pages_7_elements_0_elements_1_choices_4_text,9 hours,9 hours,missing key,9 hours,missing key,9 hours,9 Stunden,9 Stunden,missing key,missing key,9 horas,missing key,missing key,9 horas
pages_7_elements_0_elements_1_choices_5_text,pages_7_elements_0_elements_1_choices_5_text,10 hours,10 hours,missing key,10 hours,missing key,10 hours,10 Stunden,10 Stunden,missing key,missing key,10 horas,missing key,missing key,10 horas
pages_7_elements_0_elements_1_choices_6_text,pages_7_elements_0_elements_1_choices_6_text,11 hours or more,11 hours or more,missing key,11 hours or more,missing key,11 hours or more,11 Stunden oder mehr,11 Stunden oder mehr,missing key,missing key,11 horas o más,missing key,missing key,11 horas o más
,pages_7_elements_0_elements_1_title,missing key,"<b>DURING THE PAST WEEK</b>, about how many hours of sleep per night did your child usually get on the weeknights (Monday-Friday)?",missing key,missing key,missing key,missing key,missing key,Wie viele Stunden Schlaf pro Nacht konnte Ihr Kind in der Regel an den Wochentagen <b>WÄHREND DER VERGANGENEN WOCHE</b> bekommen?,missing key,missing key,missing key,missing key,missing key,"<b>DURANTE LA SEMANA PASADA</b>, ¿cuántas horas durmió normalmente su niño(a) durante la semana por noche (de lunes a viernes)?"
pages_7_elements_0_title,pages_7_elements_0_title,Please respond to each statement about your child's sleep habits.,Please respond to each statement about your child's sleep habits.,missing key,Please respond to each statement about your child's sleep habits.,missing key,Please respond to each statement about your child's sleep habits.,Bitte beantworten Sie die folgenden Aussagen über die Schlafgewohnheiten Ihres Kindes.,Bitte beantworten Sie die folgenden Aussagen über die Schlafgewohnheiten Ihres Kindes.,missing key,missing key,Responda a cada una de las afirmaciones sobre los hábitos de sueño de su niño(a).,missing key,missing key,Responda a cada una de las afirmaciones sobre los hábitos de sueño de su niño(a).
,pages_8_elements_0_html,missing key,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.,missing key,missing key,missing key,missing key,missing key,missing key,missing key,missing key,missing key,missing key,missing key,<block><b><font face=Verdana size=4>Esta sección indaga por el comportamiento y la interacción social de su niño(a).
pages_8_elements_1_elements_0_columns_0_text,pages_8_elements_1_elements_0_columns_0_text,Not at all,Not at all,missing key,Not at all,missing key,Not at all,Trifft überhaupt nicht zu,Trifft überhaupt nicht zu,missing key,missing key,Para nada,missing key,missing key,Para nada
pages_8_elements_1_elements_0_columns_1_text,pages_8_elements_1_elements_0_columns_1_text,Not very well,Not very well,missing key,Not very well,missing key,Not very well,Trifft eher nicht zu,Trifft eher nicht zu,missing key,missing key,Un poco,missing key,missing key,Un poco
