item_id,task,en-US,es-AR,es-CO,de-DE,ar-IL,en-GB,eo-UY,he-IL,nl-NL,pt-BR
same-different-selection-touch-1,same-different-selection,Choose the card with one star.,Elegí la carta con una estrella.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the card with one star.,Elektu la karton kun unu stelo.,NO APPROVED TRANSLATION,Kies de kaart met 1 ster.,
same-different-selection-touch-1-heavy,same-different-selection,Show me the picture with one shape.,,Muéstrame la imagen con una forma.,Zeige mir das Bild mit einer Form.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-2,same-different-selection,Choose the card with 2 stars.,,Escoge la carta con 2 estrellas.,Wähle die Karte mit zwei Sternen.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-2-heavy,same-different-selection,Show me the picture with two shapes.,,Muéstrame la imagen con dos formas.,Zeige mir das Bild mit zwei Formen.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-2-v2,same-different-selection,Choose the card with two triangles.,Elegí la carta con dos triángulos.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the card with two triangles.,Elektu la karton kun du trianguloj.,NO APPROVED TRANSLATION,Kies de kaart met twee driehoeken.,
same-different-selection-touch-3,same-different-selection,Choose the card with 3 stars.,,Escoge la carta con 3 estrellas.,Wähle die Karte mit drei Sternen.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-3-heavy,same-different-selection,Show me the picture with three shapes.,,Muéstrame la imagen con tres formas.,Zeige mir das Bild mit drei Formen.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-3-v2,same-different-selection,Choose the card with three circles.,Elegí la carta con tres círculos.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the card with three circles.,Elektu la karton kun tri cirkloj.,NO APPROVED TRANSLATION,Kies de kaart met drie cirkels.,
same-different-selection-touch-4,same-different-selection,Choose the card with 4 stars.,,Escoge la carta con 4 estrellas.,Wähle die Karte mit vier Sternen.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-4-heavy,same-different-selection,Show me the picture with four shapes.,,Muéstrame la imagen con cuatro formas.,Zeige mir das Bild mit vier Formen.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-4-v2,same-different-selection,Choose the card with four squares.,Elegí la carta con cuatro cuadrados.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the card with four squares.,Elektu la karton kun kvar kvadratoj.,NO APPROVED TRANSLATION,Kies de kaart met vier vierkanten.,
same-different-selection-touch-black,same-different-selection,Choose the star on the black card.,,Escoge la estrella en la carta negra.,Wähle den Stern auf der schwarzen Karte.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-black-heavy,same-different-selection,Show me the picture with the black background.,,Muéstrame la imagen con el fondo negro.,Zeige mir das Bild mit dem schwarzen Hintergrund.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-black-v2,same-different-selection,Choose the black card.,Elegí la carta negra.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the black card.,Elektu la nigran karton.,NO APPROVED TRANSLATION,Kies de zwarte kaart.,
same-different-selection-touch-blue,same-different-selection,Choose the card with a blue shape.,,Escoge la carta que tiene una figura azul.,Wähle die Karte mit einer blauen Form.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-blue-heavy,same-different-selection,Show me the blue one.,,Muéstrame el azul.,Zeige mir das blaue.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-blue-v2,same-different-selection,Choose the blue one.,Elegí la azul.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the blue one.,Elektu la bluon.,NO APPROVED TRANSLATION,Kies de blauwe.,
same-different-selection-touch-circle,same-different-selection,Choose the card with a circle.,,Escoge la carta que tiene un círculo.,Wähle die Karte mit einem Kreis.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-circle-heavy,same-different-selection,Show me the circle.,,Muéstrame el círculo.,Zeige mir den Kreis.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-circle-v2,same-different-selection,Choose the circle.,Elegí el círculo.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the circle.,Elektu la cirklon.,NO APPROVED TRANSLATION,Kies de cirkel.,
same-different-selection-touch-gray,same-different-selection,Choose the star on the gray card.,,Escoge la estrella en la carta gris.,Wähle den Stern auf der grauen Karte.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-gray-heavy,same-different-selection,Show me the picture with the gray background.,,Muéstrame la imagen con el fondo gris.,Zeige mir das Bild mit dem grauen Hintergrund.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-gray-v2,same-different-selection,Choose the gray card.,Elegí la carta gris.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the grey card.,Elektu la grizan karton.,NO APPROVED TRANSLATION,Kies de grijze kaart.,
same-different-selection-touch-green,same-different-selection,Choose the card with a green shape.,,Escoge la carta que tiene una figura verde.,Wähle die Karte mit einer grünen Form.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-green-heavy,same-different-selection,Show me the green one.,,Muéstrame el verde.,Zeige mir das grüne.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-green-v2,same-different-selection,Choose the green one.,Elegí la verde.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the green one.,Elektu la veran.,NO APPROVED TRANSLATION,Kies de groene.,
same-different-selection-touch-large,same-different-selection,Choose the card with a large shape.,,Escoge la carta que tiene una figura grande.,Wähle die Karte mit einer großen Form.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-large-heavy,same-different-selection,Show me the large one.,,Muéstrame el grande.,Zeige mir das große.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-large-v2,same-different-selection,Choose the big one.,Elegí la grande.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the big one.,Elektu la grandan.,NO APPROVED TRANSLATION,Kies de grote.,
same-different-selection-touch-medium,same-different-selection,Choose the card with a medium-sized shape.,,Escoge la carta que tiene una figura mediana.,Wähle die Karte mit einer mittelgroßen Form.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-medium-heavy,same-different-selection,Show me the medium one.,,Muéstrame el mediano.,Zeige mir das mittelgroße.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-medium-v2,same-different-selection,Choose the medium one.,Elegí la mediana.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the medium one.,Elektu la mezan.,NO APPROVED TRANSLATION,Kies de middelgrote.,
same-different-selection-touch-red,same-different-selection,Choose the card with a red shape.,,Escoge la carta que tiene una figura roja.,Wähle die Karte mit einer roten Form.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-red-heavy,same-different-selection,Show me the red one.,,Muéstrame el rojo.,Zeige mir das rote.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-red-v2,same-different-selection,Choose the red one.,Elegí la roja.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the red one.,Elektu la ruĝan.,NO APPROVED TRANSLATION,Kies de rode.,
same-different-selection-touch-small,same-different-selection,Choose the card with a small shape.,,Escoge la carta que tiene una figura pequeña.,Wähle die Karte mit einer kleinen Form.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-small-heavy,same-different-selection,Show me the small one.,,Muéstrame el pequeño.,Zeige mir das kleine.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-small-v2,same-different-selection,Choose the small one.,Elegí la pequeña.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the small one.,Elektu la malgrandan.,NO APPROVED TRANSLATION,Kies de kleine.,
same-different-selection-touch-square,same-different-selection,Choose the card with a square.,,Escoge la carta que tiene un cuadrado.,Wähle die Karte mit einem Quadrat.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-square-heavy,same-different-selection,Show me the square.,,Muéstrame el cuadrado.,Zeige mir das Quadrat.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-square-v2,same-different-selection,Choose the square.,Elegí el cuadrado.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the square.,Elektu la kvadraton.,NO APPROVED TRANSLATION,Kies het vierkant.,
same-different-selection-touch-star,same-different-selection,Choose the card with a star.,,Escoge la carta que tiene una estrella.,Wähle die Karte mit einem Stern.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-star-heavy,same-different-selection,Show me the star.,,Muéstrame la estrella.,Zeige mir den Stern.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-star-v2,same-different-selection,Choose the star.,Elegí la estrella.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the star.,Elektu la stelon.,NO APPROVED TRANSLATION,Kies de ster.,
same-different-selection-touch-striped,same-different-selection,Choose the star on the striped card.,,Escoge la estrella en la carta con rayas.,Wähle den Stern auf der gestreiften Karte.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-striped-heavy,same-different-selection,Show me the picture with the striped background.,,Muéstrame la imagen con el fondo a rayas.,Zeige mir das Bild mit dem gestreiften Hintergrund.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-striped-v2,same-different-selection,Choose the striped card.,Elegí la carta con rayas.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the striped card.,Elektu la strioforma karton.,NO APPROVED TRANSLATION,Kies de gestreepte kaart.,
same-different-selection-touch-triangle,same-different-selection,Choose the card with a triangle.,,Escoge la carta que tiene un triángulo.,Wähle die Karte mit einem Dreieck.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-triangle-heavy,same-different-selection,Show me the triangle.,,Muéstrame el triángulo.,Zeige mir das Dreieck.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-triangle-v2,same-different-selection,Choose the triangle.,Elegí el triángulo.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the triangle.,Elektu la triangulon.,NO APPROVED TRANSLATION,Kies de driehoek.,
same-different-selection-touch-white,same-different-selection,Choose the star on the white card.,,Escoge la estrella en la carta blanca.,Wähle den Stern auf der weißen Karte.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-white-heavy,same-different-selection,Show me the picture with the white background.,,Muéstrame la imagen con el fondo blanco.,Zeige mir das Bild mit dem weißen Hintergrund.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-white-v2,same-different-selection,Choose the white card.,Elegí la carta blanca.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the white card.,Elektu la blankan karton.,NO APPROVED TRANSLATION,Kies de witte kaart.,
same-different-selection-touch-yellow,same-different-selection,Choose the card with a yellow shape.,,Escoge la carta que tiene una figura amarilla.,Wähle die Karte mit einer gelben Form.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-yellow-heavy,same-different-selection,Show me the yellow one.,,Muéstrame el amarillo.,Zeige mir das gelbe.,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
same-different-selection-touch-yellow-v2,same-different-selection,Choose the yellow one.,Elegí la amarilla.,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,Choose the yellow one.,Elektu la flavon.,NO APPROVED TRANSLATION,Kies de gele.,
scared,theory-of-mind,scared,asustado,asustado,ängstlich,NO APPROVED TRANSLATION,,timigita,NO APPROVED TRANSLATION,bang,
scared-fem,theory-of-mind,scared,asustada,,,,,timigita,,bang[VROUW],
scared-plural,theory-of-mind,scared,asustados,,,,,timigita[PLURAL],,bang[MEERVOUD],
sds-2match-prompt1,same-different-selection,Here is a new set of cards. Choose two cards that are the same in some way.,,Aquí hay un nuevo grupo de cartas. Escoge dos cartas que sean iguales en algún aspecto.,"Hier sind neue Karten. Wähle zwei Karten aus, die in irgendeiner Weise gleich sind.",NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-2match-prompt1-heavy,same-different-selection,Here are some new pictures. Choose two of them that are the same in some way.,,Aquí hay algunas imágenes nuevas. Elige dos de ellas que sean iguales de alguna manera.,"Hier sind einige neue Bilder. Wählen Sie zwei davon aus, die in irgendeiner Weise gleich sind.",NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-2match-prompt2,same-different-selection,Choose two cards that are the same in a different way.,,Escoge dos cartas que sean pareja porque son iguales en algo diferente.,"Wähle zwei Karten, die auf unterschiedliche Weise gleich sind.",NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-2match-prompt2-heavy,same-different-selection,Now choose two pictures that are the same in a different way.,,Ahora elige dos imágenes que sean iguales de otro modo.,"Jetzt wähle zwei Bilder aus, die auf eine andere Weise gleich sind.",NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-3match-prompt2,same-different-selection,Here is the same set of cards again. Choose two cards that are the same in a different way.,,Aquí están otra vez las mismas cartas. Ahora debe escoger dos cartas que sean pareja porque son iguales en algo diferente.,"Hier siehst du die gleichen Karten nochmal. Wähle zwei Bilder aus, die auf unterschiedliche Art und Weise gleich sind.",NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-3match-prompt2-heavy,same-different-selection,Here are the same pictures. Choose two of them that are the same in a different way.,,Aquí están las mismas imágenes. Elige dos de ellas que sean iguales de otra manera.,"Hier sind die gleichen Bilder. Wählen Sie zwei davon aus, die auf eine andere Weise gleich sind.",NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-3unique-prompt1,same-different-selection,Choose three cards that are the same in only one way.,,Escoge tres cartas que sean iguales en un solo aspecto.,"Wähle drei Karten aus, die in irgendeiner Weise gleich sind.",NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-3unique-prompt1-heavy,same-different-selection,Choose three pictures that are the same in only one way.,,Elige tres imágenes que sean iguales en un solo aspecto.,"Wählen Sie drei Bilder aus, die nur auf eine Weise gleich sind.",NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-3unique-prompt2,same-different-selection,Choose another three cards that are the same in only one way.,,Escoge otras tres cartas que sean iguales en un solo aspecto.,"Wähle drei weitere Karten aus, die auf unterschiedliche Art und Weise gleich sind.",NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-3unique-prompt2-heavy,same-different-selection,Choose another three pictures that are the same in only one way.,,Elige otras tres imágenes que sean iguales en un solo aspecto.,"Wählen Sie weitere drei Bilder aus, die nur auf eine Weise gleich sind.",NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-match-demo1-heavy,same-different-selection,Here are three pictures. I have to choose two of them that are the same in some way. I will pick these two pictures because they are both triangles.,,Aquí hay tres imágenes. Tengo que elegir dos de ellas que sean iguales de alguna manera. Voy a escoger estas dos porque ambas son triángulos.,"Hier sind drei Bilder. Ich muss zwei von ihnen auswählen, die auf irgendeine Weise gleich sind. Ich wähle diese zwei Bilder, weil sie beide Dreiecke sind.",NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-match-demo2-heavy,same-different-selection,Here are the same three pictures. I have to choose two of them that are the same in a different way. I will pick these two pictures because they are both small.,,Aquí están las mismas tres imágenes. Tengo que elegir dos de ellas que sean iguales de otro modo. Voy a escoger estas dos porque ambas son pequeñas.,"Hier sind die gleichen drei Bilder. Ich muss zwei von ihnen auswählen, die auf eine andere Weise gleich sind. Ich wähle diese zwei Bilder, weil sie beide klein sind.",NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-pick-square-demo-heavy,same-different-selection,I will pick this one! This one is the same as the new picture because they are both squares.,,¡Escogeré esta! Esta es igual a la nueva imagen porque ambas son cuadrados.,"Ich wähle dieses! Dieses ist gleich dem neuen Bild, weil sie beide Quadrate sind.",NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-prompt3,same-different-selection,Here is another card. Which of these is similar to this one?,,Aquí hay otra carta. ¿Cuál de estas tiene algo que es igual a esta?,Hier ist eine weitere Karte. Welche Karte sieht dieser ähnlich?,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-prompt3-demo-heavy,same-different-selection,Here is another picture. I have to choose which of these pictures is the same as this new picture.,,Aquí hay otra imagen. Tengo que elegir cuál de estas imágenes es igual a esta nueva imagen.,"Hier ist ein weiteres Bild. Ich muss auswählen, welches dieser Bilder mit diesem neuen Bild übereinstimmt.",NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-prompt3-demo-heavy-part1,same-different-selection,Here is a new picture. I have to choose which of these pictures,,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-prompt3-demo-heavy-part2,same-different-selection,is the same as this new picture.,,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-prompt3-heavy,same-different-selection,Here is another picture. Which of these pictures is the same as this new picture?,,Aquí hay otra imagen. ¿Cuál de estas imágenes es igual a esta nueva imagen?,Hier ist ein weiteres Bild. Welches dieser Bilder ist gleich dem neuen Bild?,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sds-your-turn,general,Now it's your turn!,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,,Nun estas via vico!,NO APPROVED TRANSLATION,,
sdsFeedbackBothBlue,same-different-selection,"Right, this picture is the same as the new picture because they are both blue.",,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
sdsFeedbackBothLarge,same-different-selection,"Right, this picture is the same as the new picture because they are both large.",,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,NO APPROVED TRANSLATION,,,NO APPROVED TRANSLATION,,
shared-choose-picture-press-arrow,trog,"To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.","Para usar una tecla de flecha para elegir una imagen, presioná la tecla que apunta en la misma dirección que la flecha debajo de la imagen.",NO APPROVED TRANSLATION,"Um eine Bild mit einer Pfeiltaste auszuwählen, drücken Sie die Taste, die in dieselbe Richtung wie der Pfeil unter dem Bild zeigt.",NO APPROVED TRANSLATION,"To use an arrow key to choose a picture, press the key that points the same direction as the arrow below the picture.","Por uzi sagoklavon por elekti bildon, premu la klavon kiu montras en la sama direkto kiel la sago sub la bildo.",NO APPROVED TRANSLATION,"Om een pijltjestoets te gebruiken om een plaatje te kiezen, druk je op de toets die in dezelfde richting wijst als de pijl onder het plaatje.",
shared-intro-devices,trog,"You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.","Podés tocar una pantalla táctil, usar el panel táctil o presionar las flechas para esta actividad. Probala ahora.","Puedes tocar una pantalla táctil, usar el panel táctil o pulsar las flechas para esta actividad. Pruébala ahora.","Für diese Aktivität kannst du einen Touchscreen, ein Touchpad oder die Pfeiltasten verwenden. Probier es jetzt aus.",NO APPROVED TRANSLATION,"You can tap on a touchscreen, use the touchpad, or press the arrow keys for this activity. Try it now.","Vi povas frapi sur tuŝekranon, uzi la tuŝplaton aŭ premi la sagoklavojn por ĉi tiu agado. Provu ĝin nun.",NO APPROVED TRANSLATION,"Je kunt op een touchscreen tikken, het touchpad gebruiken of op de pijltjestoetsen drukken voor deze activiteit. Probeer het maar.",
shared-intro-replay,trog,You can press the replay button to hear things again. Try it now.,Podés presionar el botón de reproducir para escuchar las cosas de nuevo. Intentalo ahora.,Puedes presionar el botón de reproducir para escuchar las cosas de nuevo. Inténtalo ahora.,"Sie können die Wiedergabetaste drücken, um die Dinge noch einmal zu hören. Versuchen Sie es jetzt!",NO APPROVED TRANSLATION,You can press the replay button to hear things again. Try it now.,Vi povas premi la reblan butonon por aŭdi aferojn denove. Provu ĝin nun.,NO APPROVED TRANSLATION,Je kunt op de herhalingsknop drukken om het nog eens te horen. Probeer het nu.,
shelf,theory-of-mind,On the shelf,Sobre el estante,Sobre la repisa,Oben im Regal,NO APPROVED TRANSLATION,,Sur la breto,NO APPROVED TRANSLATION,Op de plank,
shirts,theory-of-mind,Shirts,Camisas,Camisetas,T-Shirts,NO APPROVED TRANSLATION,,Ĉemizoj,NO APPROVED TRANSLATION,T-shirts,
shoes,theory-of-mind,Shoes,Zapatos,Zapatos,Schuhe,NO APPROVED TRANSLATION,,Ŝuoj,NO APPROVED TRANSLATION,Schoenen,
small_cup,theory-of-mind,The small cup,La taza pequeña,La taza pequeña,Die kleine Tasse,NO APPROVED TRANSLATION,,La malgranda taso,NO APPROVED TRANSLATION,Het kleine kopje,
soccerball,theory-of-mind,The medium sized soccer ball,La pelota mediana de fútbol,La pelota mediana de fútbol,Den mittelgroßen Fußball,NO APPROVED TRANSLATION,,La meza futbala pilko,NO APPROVED TRANSLATION,De middelgrote voetbal,
socks,theory-of-mind,Socks,Medias,Medias,Socken,NO APPROVED TRANSLATION,,Ŝtrumpetoj,NO APPROVED TRANSLATION,Sokken,
storybook,theory-of-mind,A storybook,Un libro de cuentos,Un libro de cuentos,Ein Bilderbuch,NO APPROVED TRANSLATION,,Pruntolibro,NO APPROVED TRANSLATION,Een verhalenboek,
subtraction-prompt1,egma-math,Subtract the numbers and choose the correct answer.,Restá los números y elegí la respuesta correcta.,Resta los números y escoge la respuesta correcta.,Ziehe die Zahlen ab und wähle die richtige Antwort.,NO APPROVED TRANSLATION,Subtract the numbers and choose the correct answer.,Subtrahu la nombrojn kaj elektu la ĝustan respondon.,NO APPROVED TRANSLATION,Trek de getallen van elkaar af en kies het juiste antwoord.,Subtraia os números e escolha a resposta correta.
subtraction-prompt2,egma-math,Subtract the numbers.,Restá los números.,Resta los números.,Ziehe die Zahlen ab.,NO APPROVED TRANSLATION,Subtract the numbers.,Subtrahu la nombrojn.,NO APPROVED TRANSLATION,Trek de getallen van elkaar af.,Subtraia os números.
surprised,theory-of-mind,surprised,sorprendido,sorprendido,überrascht,NO APPROVED TRANSLATION,,surprizita,NO APPROVED TRANSLATION,verrast,
surprised-fem,theory-of-mind,surprised,sorprendida,,,,,mirigita,,verrast[VROUW],
surprised-plural,theory-of-mind,surprised,sorprendidos,,,,,mirigata[PLURAL],,verrast[MEERVOUD],
table,theory-of-mind,On the table,En la mesa,En la mesa,Auf dem Tisch,NO APPROVED TRANSLATION,,Sur la tablo,NO APPROVED TRANSLATION,Op tafel,
task-completion,general,You've completed this game. Thank you!,Completaste el juego. ¡Gracias!,Has completado el juego. ¡Gracias!,Dieses Spiel ist jetzt zu Ende! Danke fürs Mitmachen!,NO APPROVED TRANSLATION,,Vi kompletigis ĉi tiun ludon. Dankon!,NO APPROVED TRANSLATION,,Você completou este jogo. Obrigado!
task-finished,general,You've completed the game. Thank you!,Completaste el juego. ¡Gracias!,Has completado el juego. ¡Gracias!,Dieses Spiel ist jetzt zu Ende! Danke fürs Mitmachen!,NO APPROVED TRANSLATION,,Vi kompletigis la ludon. Dankon!,NO APPROVED TRANSLATION,,Você completou o jogo. Obrigado!
top,theory-of-mind,On top of the shelf above the backpack shelf,En el estante arriba del mueble de las mochilas,En la repisa sobre el mueble de las maletas,Oben auf dem Regal über dem Rucksackregal.,NO APPROVED TRANSLATION,,Sur la supra parto de la breto super la breto de dorsosakoj,NO APPROVED TRANSLATION,Bovenop de plank boven de rugzakplank,
tree,theory-of-mind,A tree,Un árbol,Un árbol,Einen Baum,NO APPROVED TRANSLATION,,Arbo,NO APPROVED TRANSLATION,Een boom,
trog-instr1-matching,trog,"This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.","Esta es una actividad de emparejamiento. Escuchá lo que digo, luego mirá las imágenes con atención. Elegí la imagen que va con las palabras que escuchás.","Esta es una actividad de emparejamiento. Escucha lo que digo, luego mira las imágenes con cuidado. Elige la imagen que va con las palabras que escuchas.","Dies ist eine Zuordnungsaufgabe. Hören Sie, was ich sage, und schauen Sie sich die Bilder sorgfältig an. Wählen Sie das Bild, das zu den Worten passt, die Sie hören.",NO APPROVED TRANSLATION,"This is a matching activity. Listen to what I say, then look at the pictures carefully. Choose the picture that goes with the words you hear.","Ĉi tio estas ĝustiga agado. Aŭskultu kion mi diras, poste atente rigardu la bildojn. Elektu la bildon kiu iras kun la vortoj kiujn vi aŭdas.",NO APPROVED TRANSLATION,Dit is een matching activiteit. Luister naar wat ik zeg en bekijk de plaatjes dan aandachtig. Kies het plaatje dat bij de woorden past die je hoort.,
trog-instruct1,trog,"Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!","Ahora, ¡vamos a hacer un juego de asociación! Yo voy a decir palabras y vos elegís la imagen que va con las palabras que yo diga. ¡Empecemos!","Ahora, ¡vamos a hacer un juego de asociación! Yo diré palabras y tú eliges la imagen que va con las palabras que yo diga. ¡Empecemos!","Jetzt werden wir ein Zuordnungsspiel spielen! Ich werde ein paar Wörter sagen, und du wählst das Bild aus, das zu dem passt, was ich sage. Los geht's!",NO APPROVED TRANSLATION,"Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!","Nun ni ludos kongruan ludon! Mi diros kelkajn vortojn, kaj vi elektos la bildon kiu kongruas kun kion mi diras. Ni ekkomencu!",NO APPROVED TRANSLATION,Nu gaan we een koppelspel spelen! Ik ga wat woorden zeggen en jij kiest het plaatje dat past bij wat ik zeg. Laten we beginnen!,
trog-item-1,trog,Choose the picture of the shoe.,Elegí el dibujo del zapato.,Escoge el dibujo del zapato.,Wähle das Bild mit dem Schuh.,NO APPROVED TRANSLATION,Choose the picture of the shoe.,Elektu la bildon de la ŝuo.,NO APPROVED TRANSLATION,Kies het plaatje van de schoen.,
trog-item-10,trog,Choose the picture that shows tall.,Elegí el dibujo que muestra alto.,Escoge el dibujo que muestra alto.,"Wähle das Bild aus, das etwas Großes zeigt.",NO APPROVED TRANSLATION,Choose the picture that shows tall.,Elektu la bildon kiu montras altan.,NO APPROVED TRANSLATION,Kies het plaatje waarop lang te zien is.,
