identifier,labels,en,es-CO,de,fr-CA,nl,context
ToM-scene14-instruct3,theory-of-mind,"Then Bobby’s sister Anna comes in. Anna also has a soccer ball! Anna puts her soccer ball on the table. Bobby is still outside playing, so he didn’t see what Anna was doing.","Entonces entra Anna, la hermana de Roberto. Anna también tiene un balón de fútbol. Anna pone su balón en la mesa. Roberto todavía está afuera jugando, así que no ve lo que hace Anna.","Dann kommt Bobbys Schwester Anna herein. Anna hat auch einen Fußball! Anna legt ihren Fußball auf den Tisch. Bobby ist immer noch draußen und spielt, deshalb hat er nicht gesehen, was Anna gemacht hat.","Ensuite, la sœur de Bobby, Anna, entre. Anna a aussi un ballon de soccer ! Anna met son ballon de soccer sur la table. Bobby est toujours dehors en train de jouer, donc il n'a pas vu ce qu'Anna faisait.","Dan komt Bobby's zus Anna binnen. Anna heeft ook een voetbal! Anna legt haar voetbal op tafel. Bobby is nog buiten aan het spelen, dus hij heeft niet gezien wat Anna aan het doen was.",
ToM-scene14-q1-false_belief,theory-of-mind,"Now, when Bobby comes in from outside, where will he look first for his soccer ball?","Ahora, cuando Roberto vuelva de entrar, ¿dónde buscará primero su balón de fútbol?","Wenn Bobby jetzt von draußen reinkommt, wo wird er zuerst nach seinem Fußball suchen?","Maintenant, quand Bobby rentre de dehors, où cherchera-t-il d'abord son ballon de soccer ?","Als Bobby van buiten binnenkomt, waar zal hij dan als eerste naar zijn voetbal zoeken?",
table,theory-of-mind,On the table,En la mesa,Auf dem Tisch,Sur la table,Op tafel,
floor,theory-of-mind,On the floor,En el suelo,Auf dem Boden,Sur le sol,Op de vloer,
ToM-scene-14-instruct4,theory-of-mind,"Let’s see what he does. Oh look, here is Bobby reaching for the soccer ball on the table. And now Anna sees Bobby reaching for that soccer ball... the soccer ball that is Anna's!","Veamos lo que hace. Oh, mira, aquí está Roberto cogiendo el balón de fútbol que está en la mesa. Y ahora Anna ve a Roberto buscando el balón... ¡el balón que es de Anna!","Schauen wir mal, was er macht. Oh, sieh mal, hier ist Bobby, der nach dem Fußball auf dem Tisch greift. Und jetzt sieht Anna, wie Bobby nach dem Fußball greift ... dem Fußball, der Anna gehört!","Voyons ce qu'il fait. Oh regarde, ici est Bobby tendant la main vers le ballon de soccer sur la table. Et maintenant Anna voit Bobby tendre la main vers ce ballon de soccer... le ballon de soccer qui appartient à Anna !","Laten we eens kijken wat hij doet. Oh kijk, hier is Bobby die naar de voetbal op tafel grijpt. En nu ziet Anna Bobby naar die voetbal grijpen... de voetbal die van Anna is!",
ToM-scene-14-q2-emotion_reasoning,theory-of-mind,How do you think Anna feels about Bobby reaching for that soccer ball?,¿Cómo crees que se siente Anna cuando Roberto coge ese balón?,"Was denkst du, wie Anna sich fühlt, wenn Bobby nach dem Fußball greift?",Que pensez-vous qu'Anna ressent quand Bobby tend la main vers ce ballon de soccer ?,Wat denk je dat Anna ervan vindt dat Bobby naar de voetbal grijpt?,
ToM-scene-14-q3-emotion_reasoning,theory-of-mind,How do you think Anna would feel if she had not seen Bobby reaching for the soccer ball?,¿Cómo crees que se sentiría Anna si no hubiera visto a Roberto intentando coger el balón?,"Was denkst du, wie Anna sich fühlen würde, wenn sie nicht gesehen hätte, wie Bobby nach dem Fußball gegriffen hat?",Comment pensez-vous qu'Anna se sentirait si elle n'avait pas vu Bobby tendre la main vers le ballon de soccer ?,Hoe denk je dat Anna zich zou voelen als ze niet had gezien dat Bobby naar de voetbal greep?,
ToM-scene-14-q4-false_belief,theory-of-mind,Is Bobby being mean and naughty for taking Anna’s soccer ball?,¿Roberto está siendo necio y travieso por coger el balón de fútbol de Anna?,"Ist Bobby gemein und frech, weil er Annas Fußball genommen hat?",Bobby est-il méchant et vilain de prendre le ballon de soccer d'Anna ?,Is Bobby gemeen en ondeugend omdat hij Anna's voetbal heeft afgepakt?,
ToM-scene-14-q5-false_belief,theory-of-mind,Should Bobby get in trouble with their mom for taking Anna’s soccer ball?,¿Debería Roberto estar en problemas con su madre por coger el balón de fútbol de Anna?,"Sollte Bobby Ärger mit seiner Mutter bekommen, weil er Annas Fußball genommen hat?",Bobby devrait-il avoir des ennuis avec leur maman pour avoir pris le ballon de soccer d'Anna ?,Moet Bobby problemen krijgen met zijn moeder omdat hij Anna's voetbal heeft afgepakt?,
ToM-scene-14-q6-reality_check,theory-of-mind,Can you help Anna find her soccer ball? Is it on the table or on the floor?,¿Puedes ayudarle a Anna a encontrar su balón de fútbol? ¿Está sobre la mesa o en el suelo?,"Kannst du Anna helfen, ihren Fußball zu finden? Liegt er auf dem Tisch oder auf dem Boden?",Peux-tu aider Anna à trouver son ballon de soccer ? Est-il sur la table ou sur le sol ?,Kun jij Anna helpen haar voetbal te vinden? Ligt hij op tafel of op de grond?,
ToM-scene-14-q7-reality_check,theory-of-mind,Can you help Bobby find his soccer ball? Is it on the table or on the floor?,¿Puedes ayudarle a Roberto a encontrar su balón de fútbol? ¿Está sobre la mesa o en el suelo?,"Kannst du Bobby helfen, seinen Fußball zu finden? Liegt er auf dem Tisch oder auf dem Boden?",Peux-tu aider Bobby à trouver son ballon de soccer ? Est-il sur la table ou sur le sol ?,Kun jij Bobby helpen zijn voetbal te vinden? Ligt hij op tafel of op de grond?,
ToM-scene-15-instruct1,theory-of-mind,"Alex, Beth, and Johnny are playing a game at the park. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Alex, Isabel y John están jugando un juego en el parque. En este juego uno de los niños se esconde, pero antes de esconderse, debe dibujar una pista en la arenera para que los otros puedan encontrarle.","Robin, Sina und Tobias spielen ein Spiel im Park. Das Spiel läuft folgendermaßen ab: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können.","Alex, Beth et Johnny jouent à un jeu au parc. Voici comment se passe le jeu : Un enfant se cache, mais trace une piste dans le bac à sable pour que les autres puissent les trouver. ","Alex, Beth en Johnny spelen een spelletje in het park. Zo gaat het spelletje: Een kind verstopt zich, maar tekent een aanwijzing in de zandbak zodat de andere kinderen hem kunnen vinden. ",
ToM-scene-15-instruct2,theory-of-mind,"Johnny decides to hide behind the flower bush. He draws a clue in the sand. Johnny means to draw the flower bush, but the drawing looks like a rock instead! Then Johnny goes to hide behind the flower bush.","John decide esconderse detrás de una planta con flores. Él dibuja una pista en la arena. Pero aunque John quiere dibujar la planta con flores, ¡su dibujo parece una roca! Al terminar su dibujo, John se va a esconder detrás de la planta con flores.","Tobias beschließt, sich hinter den Blumensträuchern zu verstecken. Er malt einen Hinweis in den Sand. Tobias will den Strauch zeichnen, aber die Zeichnung sieht stattdessen wie ein Stein aus! Dann versteckt sich Tobias hinter den Blumensträuchern.","Johnny décide de se cacher derrière l'arbuste de fleurs. Il trace une piste dans le sable. Johnny a l'intention de dessiner l'arbuste de fleurs, mais le dessin ressemble plutôt à un rocher ! Puis Johnny va se cacher derrière l'arbuste de fleurs.","Johnny besluit zich achter de bloemenstruik te verstoppen. Hij tekent een aanwijzing in het zand. Johnny wil de bloemenstruik tekenen, maar de tekening lijkt op een rots! Dan gaat Johnny zich achter de bloemenstruik verstoppen.",
ToM-scene-15-q1-reality_check,theory-of-mind,What did Johnny mean to draw?,¿Qué quería dibujar John?,Was wollte Tobias zeichnen?,Qu'est-ce que Johnny voulait dessiner ?,Wat wilde Johnny tekenen?,
flowerbush,theory-of-mind,A flower bush,Una planta con flores,Einen Blumenstrauch,Un arbuste de fleurs,Een bloemenstruik,
rocks,theory-of-mind,A rock,Una roca,Einen Felsen,Une roche,Een rots,
ToM-scene-15-q2-false_belief,theory-of-mind,"When Alex and Beth see this clue, where will they look first for Johnny? Behind the flower bush or behind the rock?","Cuando Alex e Isabel vean esta pista, ¿dónde buscarán primero a John? ¿Detrás de la planta con flores o detrás de la roca?","Wenn Robin und Sina diesen Hinweis sehen, wo werden sie zuerst nach Tobias suchen? Hinter dem Blumenstrauch oder hinter dem Felsen?","Quand Alex et Beth voient cette piste, où vont-ils chercher d'abord Johnny ? Derrière l'arbuste de fleurs ou derrière la roche ?","Als Alex en Beth deze aanwijzing zien, waar gaan ze dan als eerste naar Johnny zoeken? Achter de bloemenstruik of achter de rots?",
ToM-scene-15-q3-reality_check,theory-of-mind,Can you help them find where Johnny really is?,¿Puedes ayudarles a encontrar dónde se esconde John realmente?,"Kannst du ihnen helfen, herauszufinden, wo Tobias wirklich ist?",Peux-tu les aider à trouver où Johnny se cache vraiment ?,Kun jij ze helpen ontdekken waar Johnny werkelijk is?,
behind-flowerbush,theory-of-mind,Behind the flower bush,Detrás de la planta con flores,Hinter dem Blumenstrauch,Derrière l'arbuste de fleurs,Achter de bloemenstruik,
behind-rock,theory-of-mind,Behind the rock,Detrás de la roca,Hinter dem Felsen,Derrière la roche,Achter de rots,
ToM-scene-15-q4-emotion_reasoning,theory-of-mind,"Look, Alex and Beth found Johnny, and won the game! How do you think Alex and Beth feel about winning the game?","Mira, Alex e Isabel encontraron a John y ganaron el juego. ¿Cómo crees que se sienten Alex e Isabel por ganar el juego?","Schau, Robin und Sina haben Tobias gefunden und das Spiel gewonnen! Was denkst du, wie Robin und Sina sich fühlen, weil sie das Spiel gewonnen haben?","Regarde, Alex et Beth ont trouvé Johnny et ont gagné le jeu ! Comment penses-tu qu'Alex et Beth se sentent d'avoir gagné le jeu ?","Kijk, Alex en Beth vonden Johnny en wonnen het spel! Hoe denk je dat Alex en Beth zich voelen over het winnen van het spel?",
ToM-scene-16-instruct1,theory-of-mind,Dad tells James and Sophie to get ready for school. Dad tells them to put on their shoes.,El papá les dice a Jaime y a Sofía que se preparen para ir al colegio. El papá les dice que se pongan los zapatos.,"Papa sagt Jakob und Sophie, sie sollen sich für die Schule fertig machen. Papa sagt ihnen, dass sie ihre Schuhe anziehen sollen.",Papa dit à James et Sophie de se préparer pour l'école. Papa leur dit de mettre leurs chaussures.,Papa zegt tegen James en Sophie dat ze zich klaar moeten maken voor school. Papa zegt dat ze hun schoenen aan moeten trekken.,
ToM-scene-16-instruct2,theory-of-mind,Sophie can’t find one of her shoes! She’s looking everywhere but she can't find it.,"Sofía no encuentra uno de sus zapatos. Lo está buscando por todas partes, pero no lo encuentra.","Sophie kann einen ihrer Schuhe nicht finden! Sie sucht überall, aber sie kann ihn nicht finden.",Sophie ne trouve pas une de ses chaussures ! Elle cherche partout mais ne peut pas la trouver.,"Sophie kan een van haar schoenen niet vinden! Ze zoekt overal, maar ze kan hem niet vinden.",
ToM-scene-16-q1-emotion_reasoning,theory-of-mind,How does Sophie feel about losing her shoe? ,¿Cómo se siente Sofía por perder su zapato?,"Wie fühlt sich Sophie, weil sie ihren Schuh verloren hat?","Comment Sophie se sent-elle après avoir perdu sa chaussure ?  Eh, non?",Wat vindt Sophie ervan dat ze haar schoen kwijt is? ,
ToM-scene-16-q2-emotion_reasoning,theory-of-mind,How would Sophie feel if she found her shoe?,¿Cómo se sentiría Sofía si encontrara su zapato?,"Wie würde sich Sophie fühlen, wenn sie ihren Schuh finden würde?",Comment Sophie se sentirait-elle si elle trouvait sa chaussure ?,Hoe zou Sophie zich voelen als ze haar schoen zou vinden?,
ToM-scene-16-instruct3,theory-of-mind,"Sophie can't find her shoe because earlier in the day, when no one was looking, James played a trick on Sophie and hid her shoe in the toy box.","Sofía no encuentra su zapato porque Jaime, por hacerle una broma, se lo escondió en la caja de juguetes hace un rato cuando nadie estaba mirando.","Sophie kann ihren Schuh nicht finden, denn früher am Tag, als niemand hinsah, hat Jakob Sophie einen Streich gespielt und ihren Schuh in der Spielzeugkiste versteckt.","Sophie ne trouve pas sa chaussure parce qu'au début de la journée, lorsque personne ne regardait, James a joué un tour à Sophie et a caché sa chaussure dans le coffre à jouets.","Sophie kan haar schoen niet vinden, want eerder die dag, toen niemand keek, heeft James Sophie voor de gek gehouden door haar schoen in de speelgoedkist te verstoppen.",
ToM-scene-16-instruct4,theory-of-mind,"So Sophie looks everywhere and she can’t find her shoe. Dad gets mad at Sophie, because she lost her shoe and now they are late for school.","Entonces Sofía está buscando su zapato por todas partes, pero no lo encuentra. Ahora el papá se ha enfadado con Sofía porque perdió su zapato y van tarde para el colegio.","Sophie sucht also überall, aber sie kann ihren Schuh nicht finden. Papa wird wütend auf Sophie, weil sie ihren Schuh verloren hat und sie nun zu spät zur Schule kommen.",Sophie cherche partout mais ne peut pas trouver sa chaussure. Papa est fâché contre Sophie parce qu'elle a perdu sa chaussure et maintenant ils sont en retard pour l'école.,"Dus Sophie zoekt overal en ze kan haar schoen niet vinden. Papa wordt boos op Sophie, omdat ze haar schoen kwijt is en nu zijn ze te laat op school.",
ToM-scene-16-q3-false_belief,theory-of-mind,Is it fair that Dad is mad at Sophie for losing her shoe?,¿Es justo que papá se enfade con Sofía por haber perdido su zapato?,"Ist es fair, dass Papa sauer auf Sophie ist, weil sie ihren Schuh verloren hat?",Est-ce juste que Papa soit fâché contre Sophie pour avoir perdu sa chaussure ?,Is het eerlijk dat papa boos is op Sophie omdat ze haar schoen kwijt is?,
ToM-scene-16-q4-reference,theory-of-mind,Is Dad mad at James?,¿Está el papá enfadado con Jaime?,Ist Papa böse auf Jakob?,Papa est-il fâché contre James ?,Is papa boos op James?,
ToM-scene-16-q5-reference,theory-of-mind,Is Sophie mad at James?,¿Está Sofía enfadada con Jaime?,Ist Sophie böse auf Jakob?,Sophie est-elle fâchée contre James ?,Is Sophie boos op James?,
ToM-scene-16-instruct5,theory-of-mind,"When James sees that Dad is mad at Sophie, he goes to the toy box and gets the shoe, and gives it back to Sophie.","Cuando Jaime ve que papá está enfadado con Sofía, va a la caja de juguetes, coge el zapato y se lo devuelve a Sofía.","Als Jakob sieht, dass Papa sauer auf Sophie ist, geht er zur Spielzeugkiste, holt den Schuh und gibt ihn Sophie zurück.","Quand James voit que Papa est fâché contre Sophie, il va au coffre à jouets, récupère la chaussure, et la rend à Sophie.","Als James ziet dat papa boos is op Sophie, loopt hij naar de speelgoedkist, pakt de schoen en geeft hem terug aan Sophie.",
ToM-scene-16-q6-reference,theory-of-mind,Is Dad mad at Sophie now?,¿Está el papá enfadado con Sofía ahora?,Ist Papa jetzt sauer auf Sophie?,Papa est-il maintenant fâché contre Sophie ?,Is papa nu boos op Sophie?,
ToM-scene-16-q7-reference,theory-of-mind,Is Dad mad at James now?,¿Está el papá enfadado con Jaime ahora?,Ist Papa jetzt sauer auf Jakob?,Papa est-il maintenant fâché contre James ?,Is papa nu boos op James?,
ToM-scene-16-q8-reference,theory-of-mind,Is Sophie mad at James now?,¿Está Sofía enfadada con Jaime ahora?,Ist Sophie jetzt sauer auf Jakob?,Sophie est-elle maintenant fâchée contre James ?,Is Sophie nu boos op James?,
ToM-scene-16-instruct6,theory-of-mind,"James tells Sophie that he’s very sorry, and Sophie and Dad forgive James. They all hug.","Jaime le pide perdón a Sofía, y Sofía y el paá perdonan a Jaime. Todos se abrazan.","Jakob sagt Sophie, dass es ihm sehr leid tut, und Sophie und Papa nehmen die Entschuldigung an. Sie umarmen sich alle.",James dit à Sophie qu'il est très désolé et Sophie et papa pardonnent à James. Ils s'embrassent tous.,"James vertelt Sophie dat het hem heel erg spijt, en Sophie en papa vergeven James. Ze omhelzen elkaar.",
ToM-scene-17-instruct1,theory-of-mind,"This is Mika. Mika’s mom owns a bookshop, and sometimes Mika helps out. Earlier today, Mika was organizing books on tables and shelves. Mika put a very large stack of blue books on the desk, a medium-sized stack of red books on the table, and a small stack of yellow books on the shelf.","Esta es Melisa. La madre de Melisa tiene una librería y Melisa a veces la ayuda. Hace un rato, Melisa estaba organizando unos libros en las mesas y biblioteca. Melisa puso una torre muy grande de libros azules en el escritorio, una torre mediana de libros rojos en la mesa y una torre pequeña de libros amarillos en la biblioteca.","Das ist Mika. Mikas Mutter hat eine Buchhandlung, und manchmal hilft Mika dort mit. Heute hat Mika die Bücher auf Tischen und Regalen sortiert. Mika hat einen sehr großen Stapel blauer Bücher auf den Schreibtisch gelegt, einen mittelgroßen Stapel roter Bücher auf den Tisch und einen kleinen Stapel gelber Bücher ins Regal.","Voici Mika. La mère de Mika possède une librairie et parfois Mika aide. Plus tôt aujourd'hui, Mika rangeait des livres sur les tables et les étagères. Mika a mis une pile très large de livres bleus sur le bureau, une pile de taille moyenne de livres rouges sur la table, et une petite pile de livres jaunes sur l'étagère.","Dit is Mika. Mika's moeder heeft een boekwinkel en soms helpt Mika mee. Eerder vandaag was Mika bezig met het ordenen van boeken op tafels en planken. Mika legde een hele grote stapel blauwe boeken op het bureau, een middelgrote stapel rode boeken op de tafel en een kleine stapel gele boeken op de plank.",
ToM-scene-17-instruct2,theory-of-mind,"Mika’s mom just walked in. Mom asks Mika for one of the books. Mika remembers where the book is, and tells mom, “The book is in the small stack!”","La madre de Melisa acaba de entrar. La madre le pide a Melisa uno de los libros. Melisa recuerda dónde está ese libro y le dice a su mamá: ""¡El libro está en la torre pequeña!"".","Mikas Mutter kommt gerade herein. Mama fragt Mika nach einem der Bücher. Mika erinnert sich, wo das Buch ist, und sagt zu Mama: „Das Buch ist in dem kleinen Stapel!“",La maman de Mika vient d'entrer. Maman demande à Mika un des livres. Mika se souvient où est le livre et dit à maman : « Le livre est dans la petite pile ! »,"Mika's moeder komt net binnen. Moeder vraagt Mika om een van de boeken. Mika weet waar het boek is en zegt tegen moeder: ""Het boek ligt in de kleine stapel!""",
ToM-scene-17-q1-reference,theory-of-mind,Which stack of books will mom look in?,¿En cual torre de libros va a buscar la mamá?,In welchem Bücherstapel wird Mama nachsehen?,Dans quelle pile de livres maman regardera-t-elle ?,In welke stapel boeken zal mama kijken?,
ToM-scene-17-q2-reality_check,theory-of-mind,Which stack of books was Mika talking about?,¿A cuál torre de libros se refería Melisa?,Welchen Bücherstapel hat Mika gemeint?,De quelle pile de livres parlait Mika ?,Over welke stapel boeken had Mika het?,
bluestack,theory-of-mind,The large blue stack,La torre azul grande,Den großen blauen Stapel,The large blue stack,The large blue stack,
redstack,theory-of-mind,The medium sized red stack,La torre roja mediana,Den mittelgroßen roten Stapel,The medium sized red stack,The medium sized red stack,
yellowstack,theory-of-mind,The small yellow stack,La torre amarilla pequeña,Den kleinen gelben Stapel,The small yellow stack,The small yellow stack,
ToM-scene-17-q3-emotion_reasoning,theory-of-mind,Mom looks in the wrong stack of books and can’t find the book that she wanted. How do you think Mom feels about not finding the book she wanted?,La mamá busca en la torre de libros equivocada y no encuentra el libro que quería. ¿Cómo crees que se siente la mamá al no encontrar el libro que quería?,"Mama schaut in den falschen Stapel und findet das Buch nicht, das sie gesucht hat. Was glaubst du, wie Mama sich fühlt, wenn sie das gewünschte Buch nicht findet?",Maman cherche dans la mauvaise pile de livres et ne trouve pas le livre qu'elle voulait. Comment pensez-vous que maman se sent de ne pas trouver le livre qu'elle voulait ?,Mama kijkt in de verkeerde stapel boeken en kan het boek dat ze wilde niet vinden. Hoe denk je dat mama zich voelt als ze het boek dat ze wilde niet vindt?,
ToM-scene-17-q4-emotion_reasoning,theory-of-mind,How do you think Mom would feel if she could find the book she wanted?,¿Cómo crees que se sentiría la mamá si pudiera encontrar el libro que quería?,"Was glaubst du, wie sie sich fühlen würde, wenn sie das Buch finden würde, das sie sucht?",Comment pensez-vous que Maman se sentirait si elle pouvait trouver le livre qu'elle voulait?,Hoe denk je dat mama zich zou voelen als ze het boek zou vinden dat ze wilde?,
ToM-scene-18-instruct1,theory-of-mind,"George and Kat are playing together. They look outside and see a new toy shop across the street. Kat decides to go buy some new toys at the toy shop. Kat asks George what toy he would like to have, and George says he would like a new basketball.",Jorge y Catalina están jugando juntos. Miran fuera y ven una juguetería nueva al otro lado de la calle. Catalina decide ir a comprar juguetes a la juguetería. Catalina le pregunta a Jorge cuál juguete le gustaría tener y Jorge dice que le gustaría un balón de baloncesto nuevo.,"Georg und Theresa spielen zusammen. Sie schauen nach draußen und sehen auf der anderen Straßenseite ein neues Spielzeuggeschäft. Theresa beschließt, ein paar neue Spielsachen in dem Geschäft zu kaufen. Theresa fragt Georg, welches Spielzeug er gerne hätte, und Georg sagt, er hätte gerne einen neuen Basketball.","George et Kat jouent ensemble. Ils regardent dehors et voient un nouveau magasin de jouets de l'autre côté de la rue. Kat décide d'aller acheter de nouveaux jouets au magasin de jouets. Kat demande à George quel jouet il aimerait avoir, et George dit qu'il aimerait un nouveau ballon de basketball.","George en Kat spelen samen. Ze kijken naar buiten en zien een nieuwe speelgoedwinkel aan de overkant van de straat. Kat besluit om wat nieuw speelgoed te kopen bij de speelgoedwinkel. Kat vraagt George welk speelgoed hij zou willen hebben, en George zegt dat hij een nieuwe basketbal zou willen.",
ToM-scene-18-instruct2,theory-of-mind,"While Kat is walking to the toy shop, George changes his mind and yells to Kat, “Actually, can I please have some crayons?” But Kat did not hear George ask for crayons.","Mientras Catalina caminaba a la juguetería, Jorge cambió de opinión y le gritó a Catalina: ""En realidad, ¿me compras unos colores, por favor?"". Pero Catalina no escuchó a Jorge pedir los colores.","Während Theresa zum Spielzeugladen geht, ändert Georg seine Meinung und ruft Theresa zu: „Kann ich bitte ein paar Buntstifte haben?“ Aber Theresa hat nicht gehört, wie Georg nach Buntstiften gefragt hat.","Alors que Kat se rend au magasin de jouets, George change d'avis et crie à Kat: ""En fait, puis-je avoir des crayons s'il vous plaît?"" Mais Kat n'a pas entendu George demander des crayons.","Terwijl Kat naar de speelgoedwinkel loopt, verandert George van gedachten en roept naar Kat: ""Mag ik alsjeblieft wat kleurpotloden?"" Maar Kat hoorde George niet om kleurpotloden vragen.",
ToM-scene-18-q1-false_belief,theory-of-mind,Which toy does Kat think George wants from the toy shop?,¿Cuál juguete cree Catalina que Jorge quiere de la juguetería?,"Welches Spielzeug, glaubt Theresa, möchte Georg aus dem Spielzeugladen haben?",Quel jouet Kat pense-t-elle que George veut du magasin de jouets?,Welk speeltje uit de speelgoedwinkel wil Kat?,
ToM-scene-18-instruct3,theory-of-mind,"Kat didn’t hear George say that he wanted crayons. So Kat thinks George wants a basketball. Kat goes to the toy shop, but then the shop owner says that they don’t have any basketballs! But they do have storybooks, so Kat buys a storybook for George instead.","Catalina no escuchó a Jorge decir que quería unos colores, así que Catalina piensa que Jorge quiere un balón de baloncesto. Catalina va a la juguetería, pero el dueño le dice aunque no tienen balones de baloncesto, sí tienen libros de cuentos. Catalina le compra un libro de cuentos a Jorge.","Theresa hat Georg nicht sagen hören, dass er Buntstifte haben möchte. Deshalb glaubt Theresa, dass Georg sich einen Basketball wünscht. Theresa geht in den Spielzeugladen, aber der Ladenbesitzer sagt, dass sie keine Basketbälle haben! Aber sie haben Märchenbücher, also kauft Theresa stattdessen ein Märchenbuch für Georg.","Kat n'a pas entendu George dire qu'il voulait des crayons. Alors Kat pense que George veut un ballon de basketball. Kat va au magasin de jouets, mais ensuite le propriétaire du magasin dit qu'ils n'ont pas de ballons de basketball! Mais ils ont des livres d'histoires, alors Kat achète un livre d'histoires pour George à la place.","Kat hoorde George niet zeggen dat hij kleurpotloden wilde. Dus Kat denkt dat George een basketbal wil. Kat gaat naar de speelgoedwinkel, maar dan zegt de winkeleigenaar dat ze geen basketbal hebben! Maar ze hebben wel verhalenboeken, dus Kat koopt in plaats daarvan een verhalenboek voor George.",
ToM-scene-18-q2-false_belief,theory-of-mind,Does George know that Kat bought a storybook?,¿Jorge sabe que Catalina compró un libro de cuentos?,"Weiß Georg, dass Theresa ein Märchenbuch gekauft hat?",George sait-il que Kat a acheté un livre d'histoires?,Weet George dat Kat een sprookjesboek heeft gekocht?,
ToM-scene-18-q3-false_belief,theory-of-mind,What does George think Kat bought at the toy shop?,¿Qué cree Jorge que Catalina compró en la juguetería?,"Was glaubt Georg, was Theresa im Spielzeugladen gekauft hat?",Que pense George que Kat a acheté au magasin de jouets?,Wat denkt George dat Kat in de speelgoedwinkel heeft gekocht?,
basketball,theory-of-mind,A basketball,Un balón de baloncesto,Einen Basketball,Un ballon de basketball,Een basketbal,
storybook,theory-of-mind,A storybook,Un libro de cuentos,Ein Bilderbuch,Un livre d'histoires,Een sprookjesboek,
crayons,theory-of-mind,Crayons,Unos colores,Buntstifte,Crayons ,Krijtjes,
ToM-scene-18-instruct4,theory-of-mind,"Kat comes back and tells George, “I’m so sorry, I couldn’t buy you a basketball because the store didn’t have any.”","Catalina vuelve y le dice a Jorge: ""Lo siento mucho, no pude comprarte un balón de baloncesto porque no los vendían en la tienda"".","Theresa kommt zurück und sagt zu Georg: „Es tut mir so leid, ich konnte dir keinen Basketball kaufen, weil der Laden keinen hatte.“","Kat revient et dit à George: ""Je suis désolé, je n'ai pas pu t'acheter un ballon de basketball parce que le magasin n'en avait pas.""","Kat komt terug en zegt tegen George: ""Het spijt me zo, maar ik kon je geen basketbal kopen omdat de winkel er geen had.""",
ToM-scene-18-q4-reality_check,theory-of-mind,What toy does George want?,¿Cuál juguete quiere Jorge?,Welches Spielzeug wünscht sich Georg?,Quel jouet veut George?,Welk speeltje wil George?,
ToM-scene-18-q5-reality_check,theory-of-mind,What toy did Kat buy for George?,¿Cuál juguete le compró Catalina a Jorge?,Welches Spielzeug hat Theresa für Georg gekauft?,Quel jouet Kat a-t-elle acheté pour George?,Welk speeltje heeft Kat voor George gekocht?,
ToM-scene-18-instruct5,theory-of-mind,George is very happy to play with his new storybook.,Jorge está emocionado por leer su nuevo libro de cuentos.,"Georg ist sehr glücklich, dass er ein neues Bilderbuch hat.",George est très heureux de jouer avec son nouveau livre d'histoires.,George is erg blij om met zijn nieuwe verhalenboek te spelen.,
inferenceInstructions2,roar-inference,Welcome to ROAR - Inference,Welcome to ROAR - Inference,Welcome to ROAR - Inference,Bienvenue à ROAR - Inférence,Welkom bij ROAR - Inferentie,
inferenceInstructions,roar-inference,Read each story carefully. Think about what happened in the story and what you know. Choose the best answer for each question.,Read each story carefully. Think about what happened in the story and what you know. Choose the best answer for each question.,Read each story carefully. Think about what happened in the story and what you know. Choose the best answer for each question.,Lisez chaque histoire attentivement. Pensez à ce qui s'est passé dans l'histoire et à ce que vous savez. Choisissez la meilleure réponse pour chaque question.,Lees elk verhaal zorgvuldig. Denk na over wat er in het verhaal gebeurde en wat je weet. Kies het beste antwoord voor elke vraag.,
sds-your-turn,same-different-selection,Now it's your turn!,Now it's your turn!,Now it's your turn!,Now it's your turn!,Now it's your turn!,
sds-prompt3-demo-heavy,same-different-selection,Here is another picture. I have to choose which of these pictures is the same as this new picture.,Here is another picture. I have to choose which of these pictures is the same as this new picture.,Here is another picture. I have to choose which of these pictures is the same as this new picture.,Here is another picture. I have to choose which of these pictures is the same as this new picture.,Here is another picture. I have to choose which of these pictures is the same as this new picture.,
sds-pick-square-demo-heavy,same-different-selection,I will pick this one! This one is the same as the new picture because they are both squares.,I will pick this one! This one is the same as the new picture because they are both squares.,I will pick this one! This one is the same as the new picture because they are both squares.,I will pick this one! This one is the same as the new picture because they are both squares.,I will pick this one! This one is the same as the new picture because they are both squares.,
same-different-selection-instruct1-heavy,same-different-selection,"This is the matching game. In this game, we are going to look at pictures and find things about them that are the same in some way.","This is the matching game. In this game, we are going to look at pictures and find things about them that are the same in some way.","This is the matching game. In this game, we are going to look at pictures and find things about them that are the same in some way.","This is the matching game. In this game, we are going to look at pictures and find things about them that are the same in some way.","This is the matching game. In this game, we are going to look at pictures and find things about them that are the same in some way.",
same-different-selection-instruct2-heavy,same-different-selection,Now we're going to look at more pictures and find things about them that are the same. Let's learn how to play!,Now we're going to look at more pictures and find things about them that are the same. Let's learn how to play!,Now we're going to look at more pictures and find things about them that are the same. Let's learn how to play!,Now we're going to look at more pictures and find things about them that are the same. Let's learn how to play!,Now we're going to look at more pictures and find things about them that are the same. Let's learn how to play!,
